Test Case ID,Cloud,Module,Domain,E2E Flow,Test Type,Test Scenario,Preconditions,Steps,Expected Result,Priority,Type,Sample Data
SN-HRSD-00012,ServiceNow,Employee Center,Corporate HR,Lifecycle Event -> Notifications -> Case Closure,Integration,Assign Corporate HR ServiceNow Employee Center,User has ServiceNow access and Corporate HR test data exists,"1. Open Employee Center.
2. Execute: Lifecycle Event -> Notifications -> Case Closure.
3. Perform validation and confirm outcome.","Lifecycle Event -> Notifications -> Case Closure completes with correct state, audit trail, and notifications",Low,Functional,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-HRSD-00013,ServiceNow,Employee Center,Shared Services,Employee Center -> HR Case -> Knowledge -> Resolution,Accessibility,Submit Shared Services ServiceNow Employee Center,User has ServiceNow access and Shared Services test data exists,"1. Open Employee Center.
2. Execute: Employee Center -> HR Case -> Knowledge -> Resolution.
3. Perform validation and confirm outcome.","Employee Center -> HR Case -> Knowledge -> Resolution completes with correct state, audit trail, and notifications",High,UI,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-HRSD-00014,ServiceNow,Employee Center,Shared Services,Onboarding -> Tasks -> Approvals -> Completion,Accessibility,Delete Shared Services ServiceNow Employee Center,User has ServiceNow access and Shared Services test data exists,"1. Open Employee Center.
2. Execute: Onboarding -> Tasks -> Approvals -> Completion.
3. Perform validation and confirm outcome.","Onboarding -> Tasks -> Approvals -> Completion completes with correct state, audit trail, and notifications",High,Regression,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-HRSD-00015,ServiceNow,Employee Center,Shared Services,Lifecycle Event -> Notifications -> Case Closure,Regression,Close Shared Services ServiceNow Employee Center,User has ServiceNow access and Shared Services test data exists,"1. Open Employee Center.
2. Execute: Lifecycle Event -> Notifications -> Case Closure.
3. Perform validation and confirm outcome.","Lifecycle Event -> Notifications -> Case Closure completes with correct state, audit trail, and notifications",High,Integration,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-HRSD-00016,ServiceNow,Employee Center,Employee Experience,Employee Center -> HR Case -> Knowledge -> Resolution,UI,Close Employee Experience ServiceNow Employee Center,User has ServiceNow access and Employee Experience test data exists,"1. Open Employee Center.
2. Execute: Employee Center -> HR Case -> Knowledge -> Resolution.
3. Perform validation and confirm outcome.","Employee Center -> HR Case -> Knowledge -> Resolution completes with correct state, audit trail, and notifications",Medium,Functional,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-HRSD-00017,ServiceNow,Employee Center,Employee Experience,Onboarding -> Tasks -> Approvals -> Completion,UI,Close Employee Experience ServiceNow Employee Center,User has ServiceNow access and Employee Experience test data exists,"1. Open Employee Center.
2. Execute: Onboarding -> Tasks -> Approvals -> Completion.
3. Perform validation and confirm outcome.","Onboarding -> Tasks -> Approvals -> Completion completes with correct state, audit trail, and notifications",Medium,Accessibility,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-HRSD-00018,ServiceNow,Employee Center,Employee Experience,Lifecycle Event -> Notifications -> Case Closure,UI,Assign Employee Experience ServiceNow Employee Center,User has ServiceNow access and Employee Experience test data exists,"1. Open Employee Center.
2. Execute: Lifecycle Event -> Notifications -> Case Closure.
3. Perform validation and confirm outcome.","Lifecycle Event -> Notifications -> Case Closure completes with correct state, audit trail, and notifications",Medium,Integration,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-HRSD-00019,ServiceNow,Knowledge,Corporate HR,Employee Center -> HR Case -> Knowledge -> Resolution,Regression,Delete Corporate HR ServiceNow Knowledge,User has ServiceNow access and Corporate HR test data exists,"1. Open Knowledge.
2. Execute: Employee Center -> HR Case -> Knowledge -> Resolution.
3. Perform validation and confirm outcome.","Employee Center -> HR Case -> Knowledge -> Resolution completes with correct state, audit trail, and notifications",Medium,Functional,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-HRSD-00020,ServiceNow,Knowledge,Corporate HR,Onboarding -> Tasks -> Approvals -> Completion,Functional,Approve Corporate HR ServiceNow Knowledge,User has ServiceNow access and Corporate HR test data exists,"1. Open Knowledge.
2. Execute: Onboarding -> Tasks -> Approvals -> Completion.
3. Perform validation and confirm outcome.","Onboarding -> Tasks -> Approvals -> Completion completes with correct state, audit trail, and notifications",Medium,Integration,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-HRSD-00021,ServiceNow,Knowledge,Corporate HR,Lifecycle Event -> Notifications -> Case Closure,Functional,Update Corporate HR ServiceNow Knowledge,User has ServiceNow access and Corporate HR test data exists,"1. Open Knowledge.
2. Execute: Lifecycle Event -> Notifications -> Case Closure.
3. Perform validation and confirm outcome.","Lifecycle Event -> Notifications -> Case Closure completes with correct state, audit trail, and notifications",Low,UI,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-HRSD-00022,ServiceNow,Knowledge,Shared Services,Employee Center -> HR Case -> Knowledge -> Resolution,Accessibility,Create Shared Services ServiceNow Knowledge,User has ServiceNow access and Shared Services test data exists,"1. Open Knowledge.
2. Execute: Employee Center -> HR Case -> Knowledge -> Resolution.
3. Perform validation and confirm outcome.","Employee Center -> HR Case -> Knowledge -> Resolution completes with correct state, audit trail, and notifications",High,Functional,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-HRSD-00023,ServiceNow,Knowledge,Shared Services,Onboarding -> Tasks -> Approvals -> Completion,Accessibility,Resolve Shared Services ServiceNow Knowledge,User has ServiceNow access and Shared Services test data exists,"1. Open Knowledge.
2. Execute: Onboarding -> Tasks -> Approvals -> Completion.
3. Perform validation and confirm outcome.","Onboarding -> Tasks -> Approvals -> Completion completes with correct state, audit trail, and notifications",Low,UI,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-HRSD-00024,ServiceNow,Knowledge,Shared Services,Lifecycle Event -> Notifications -> Case Closure,Regression,Update Shared Services ServiceNow Knowledge,User has ServiceNow access and Shared Services test data exists,"1. Open Knowledge.
2. Execute: Lifecycle Event -> Notifications -> Case Closure.
3. Perform validation and confirm outcome.","Lifecycle Event -> Notifications -> Case Closure completes with correct state, audit trail, and notifications",High,UI,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-HRSD-00025,ServiceNow,Knowledge,Employee Experience,Employee Center -> HR Case -> Knowledge -> Resolution,UI,Edit Employee Experience ServiceNow Knowledge,User has ServiceNow access and Employee Experience test data exists,"1. Open Knowledge.
2. Execute: Employee Center -> HR Case -> Knowledge -> Resolution.
3. Perform validation and confirm outcome.","Employee Center -> HR Case -> Knowledge -> Resolution completes with correct state, audit trail, and notifications",High,Integration,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-HRSD-00026,ServiceNow,Knowledge,Employee Experience,Onboarding -> Tasks -> Approvals -> Completion,UI,Approve Employee Experience ServiceNow Knowledge,User has ServiceNow access and Employee Experience test data exists,"1. Open Knowledge.
2. Execute: Onboarding -> Tasks -> Approvals -> Completion.
3. Perform validation and confirm outcome.","Onboarding -> Tasks -> Approvals -> Completion completes with correct state, audit trail, and notifications",Low,Accessibility,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-HRSD-00027,ServiceNow,Knowledge,Employee Experience,Lifecycle Event -> Notifications -> Case Closure,Regression,Edit Employee Experience ServiceNow Knowledge,User has ServiceNow access and Employee Experience test data exists,"1. Open Knowledge.
2. Execute: Lifecycle Event -> Notifications -> Case Closure.
3. Perform validation and confirm outcome.","Lifecycle Event -> Notifications -> Case Closure completes with correct state, audit trail, and notifications",Low,UI,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-HRSD-00028,ServiceNow,Lifecycle Event,Corporate HR,Employee Center -> HR Case -> Knowledge -> Resolution,Functional,Reject Corporate HR ServiceNow Lifecycle Event,User has ServiceNow access and Corporate HR test data exists,"1. Open Lifecycle Event.
2. Execute: Employee Center -> HR Case -> Knowledge -> Resolution.
3. Perform validation and confirm outcome.","Employee Center -> HR Case -> Knowledge -> Resolution completes with correct state, audit trail, and notifications",High,Integration,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-HRSD-00029,ServiceNow,Lifecycle Event,Corporate HR,Onboarding -> Tasks -> Approvals -> Completion,Regression,Update Corporate HR ServiceNow Lifecycle Event,User has ServiceNow access and Corporate HR test data exists,"1. Open Lifecycle Event.
2. Execute: Onboarding -> Tasks -> Approvals -> Completion.
3. Perform validation and confirm outcome.","Onboarding -> Tasks -> Approvals -> Completion completes with correct state, audit trail, and notifications",Medium,UI,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-HRSD-00030,ServiceNow,Lifecycle Event,Corporate HR,Lifecycle Event -> Notifications -> Case Closure,Accessibility,Clone Corporate HR ServiceNow Lifecycle Event,User has ServiceNow access and Corporate HR test data exists,"1. Open Lifecycle Event.
2. Execute: Lifecycle Event -> Notifications -> Case Closure.
3. Perform validation and confirm outcome.","Lifecycle Event -> Notifications -> Case Closure completes with correct state, audit trail, and notifications",Low,Regression,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-HRSD-00031,ServiceNow,Lifecycle Event,Shared Services,Employee Center -> HR Case -> Knowledge -> Resolution,Regression,Submit Shared Services ServiceNow Lifecycle Event,User has ServiceNow access and Shared Services test data exists,"1. Open Lifecycle Event.
2. Execute: Employee Center -> HR Case -> Knowledge -> Resolution.
3. Perform validation and confirm outcome.","Employee Center -> HR Case -> Knowledge -> Resolution completes with correct state, audit trail, and notifications",High,UI,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-HRSD-00032,ServiceNow,Lifecycle Event,Shared Services,Onboarding -> Tasks -> Approvals -> Completion,Regression,Resolve Shared Services ServiceNow Lifecycle Event,User has ServiceNow access and Shared Services test data exists,"1. Open Lifecycle Event.
2. Execute: Onboarding -> Tasks -> Approvals -> Completion.
3. Perform validation and confirm outcome.","Onboarding -> Tasks -> Approvals -> Completion completes with correct state, audit trail, and notifications",Low,Functional,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-HRSD-00033,ServiceNow,Lifecycle Event,Shared Services,Lifecycle Event -> Notifications -> Case Closure,Integration,Delete Shared Services ServiceNow Lifecycle Event,User has ServiceNow access and Shared Services test data exists,"1. Open Lifecycle Event.
2. Execute: Lifecycle Event -> Notifications -> Case Closure.
3. Perform validation and confirm outcome.","Lifecycle Event -> Notifications -> Case Closure completes with correct state, audit trail, and notifications",High,Regression,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-HRSD-00034,ServiceNow,Lifecycle Event,Employee Experience,Employee Center -> HR Case -> Knowledge -> Resolution,Functional,Validate Employee Experience ServiceNow Lifecycle Event,User has ServiceNow access and Employee Experience test data exists,"1. Open Lifecycle Event.
2. Execute: Employee Center -> HR Case -> Knowledge -> Resolution.
3. Perform validation and confirm outcome.","Employee Center -> HR Case -> Knowledge -> Resolution completes with correct state, audit trail, and notifications",Low,Integration,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-HRSD-00035,ServiceNow,Lifecycle Event,Employee Experience,Onboarding -> Tasks -> Approvals -> Completion,Regression,Clone Employee Experience ServiceNow Lifecycle Event,User has ServiceNow access and Employee Experience test data exists,"1. Open Lifecycle Event.
2. Execute: Onboarding -> Tasks -> Approvals -> Completion.
3. Perform validation and confirm outcome.","Onboarding -> Tasks -> Approvals -> Completion completes with correct state, audit trail, and notifications",Medium,Accessibility,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-HRSD-00036,ServiceNow,Lifecycle Event,Employee Experience,Lifecycle Event -> Notifications -> Case Closure,Accessibility,Close Employee Experience ServiceNow Lifecycle Event,User has ServiceNow access and Employee Experience test data exists,"1. Open Lifecycle Event.
2. Execute: Lifecycle Event -> Notifications -> Case Closure.
3. Perform validation and confirm outcome.","Lifecycle Event -> Notifications -> Case Closure completes with correct state, audit trail, and notifications",High,Accessibility,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-HRSD-00037,ServiceNow,Onboarding,Corporate HR,Employee Center -> HR Case -> Knowledge -> Resolution,Regression,Create Corporate HR ServiceNow Onboarding,User has ServiceNow access and Corporate HR test data exists,"1. Open Onboarding.
2. Execute: Employee Center -> HR Case -> Knowledge -> Resolution.
3. Perform validation and confirm outcome.","Employee Center -> HR Case -> Knowledge -> Resolution completes with correct state, audit trail, and notifications",Low,Integration,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-HRSD-00038,ServiceNow,Onboarding,Corporate HR,Onboarding -> Tasks -> Approvals -> Completion,UI,Close Corporate HR ServiceNow Onboarding,User has ServiceNow access and Corporate HR test data exists,"1. Open Onboarding.
2. Execute: Onboarding -> Tasks -> Approvals -> Completion.
3. Perform validation and confirm outcome.","Onboarding -> Tasks -> Approvals -> Completion completes with correct state, audit trail, and notifications",Medium,Accessibility,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-HRSD-00039,ServiceNow,Onboarding,Corporate HR,Lifecycle Event -> Notifications -> Case Closure,Regression,Submit Corporate HR ServiceNow Onboarding,User has ServiceNow access and Corporate HR test data exists,"1. Open Onboarding.
2. Execute: Lifecycle Event -> Notifications -> Case Closure.
3. Perform validation and confirm outcome.","Lifecycle Event -> Notifications -> Case Closure completes with correct state, audit trail, and notifications",Medium,Functional,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-HRSD-00040,ServiceNow,Onboarding,Shared Services,Employee Center -> HR Case -> Knowledge -> Resolution,Accessibility,Resolve Shared Services ServiceNow Onboarding,User has ServiceNow access and Shared Services test data exists,"1. Open Onboarding.
2. Execute: Employee Center -> HR Case -> Knowledge -> Resolution.
3. Perform validation and confirm outcome.","Employee Center -> HR Case -> Knowledge -> Resolution completes with correct state, audit trail, and notifications",Low,Functional,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-HRSD-00041,ServiceNow,Onboarding,Shared Services,Onboarding -> Tasks -> Approvals -> Completion,Regression,Search Shared Services ServiceNow Onboarding,User has ServiceNow access and Shared Services test data exists,"1. Open Onboarding.
2. Execute: Onboarding -> Tasks -> Approvals -> Completion.
3. Perform validation and confirm outcome.","Onboarding -> Tasks -> Approvals -> Completion completes with correct state, audit trail, and notifications",High,UI,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-HRSD-00042,ServiceNow,Onboarding,Shared Services,Lifecycle Event -> Notifications -> Case Closure,Regression,Edit Shared Services ServiceNow Onboarding,User has ServiceNow access and Shared Services test data exists,"1. Open Onboarding.
2. Execute: Lifecycle Event -> Notifications -> Case Closure.
3. Perform validation and confirm outcome.","Lifecycle Event -> Notifications -> Case Closure completes with correct state, audit trail, and notifications",High,Integration,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-HRSD-00043,ServiceNow,Onboarding,Employee Experience,Employee Center -> HR Case -> Knowledge -> Resolution,Functional,Validate Employee Experience ServiceNow Onboarding,User has ServiceNow access and Employee Experience test data exists,"1. Open Onboarding.
2. Execute: Employee Center -> HR Case -> Knowledge -> Resolution.
3. Perform validation and confirm outcome.","Employee Center -> HR Case -> Knowledge -> Resolution completes with correct state, audit trail, and notifications",Low,UI,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-HRSD-00044,ServiceNow,Onboarding,Employee Experience,Onboarding -> Tasks -> Approvals -> Completion,Functional,Reject Employee Experience ServiceNow Onboarding,User has ServiceNow access and Employee Experience test data exists,"1. Open Onboarding.
2. Execute: Onboarding -> Tasks -> Approvals -> Completion.
3. Perform validation and confirm outcome.","Onboarding -> Tasks -> Approvals -> Completion completes with correct state, audit trail, and notifications",Medium,Accessibility,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-HRSD-00045,ServiceNow,Onboarding,Employee Experience,Lifecycle Event -> Notifications -> Case Closure,UI,Create Employee Experience ServiceNow Onboarding,User has ServiceNow access and Employee Experience test data exists,"1. Open Onboarding.
2. Execute: Lifecycle Event -> Notifications -> Case Closure.
3. Perform validation and confirm outcome.","Lifecycle Event -> Notifications -> Case Closure completes with correct state, audit trail, and notifications",Medium,UI,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-HRSD-00046,ServiceNow,Offboarding,Corporate HR,Employee Center -> HR Case -> Knowledge -> Resolution,Regression,Reject Corporate HR ServiceNow Offboarding,User has ServiceNow access and Corporate HR test data exists,"1. Open Offboarding.
2. Execute: Employee Center -> HR Case -> Knowledge -> Resolution.
3. Perform validation and confirm outcome.","Employee Center -> HR Case -> Knowledge -> Resolution completes with correct state, audit trail, and notifications",High,Functional,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-HRSD-00047,ServiceNow,Offboarding,Corporate HR,Onboarding -> Tasks -> Approvals -> Completion,Accessibility,Close Corporate HR ServiceNow Offboarding,User has ServiceNow access and Corporate HR test data exists,"1. Open Offboarding.
2. Execute: Onboarding -> Tasks -> Approvals -> Completion.
3. Perform validation and confirm outcome.","Onboarding -> Tasks -> Approvals -> Completion completes with correct state, audit trail, and notifications",High,Functional,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-HRSD-00048,ServiceNow,Offboarding,Corporate HR,Lifecycle Event -> Notifications -> Case Closure,UI,Create Corporate HR ServiceNow Offboarding,User has ServiceNow access and Corporate HR test data exists,"1. Open Offboarding.
2. Execute: Lifecycle Event -> Notifications -> Case Closure.
3. Perform validation and confirm outcome.","Lifecycle Event -> Notifications -> Case Closure completes with correct state, audit trail, and notifications",Medium,Accessibility,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-HRSD-00049,ServiceNow,Offboarding,Shared Services,Employee Center -> HR Case -> Knowledge -> Resolution,UI,Assign Shared Services ServiceNow Offboarding,User has ServiceNow access and Shared Services test data exists,"1. Open Offboarding.
2. Execute: Employee Center -> HR Case -> Knowledge -> Resolution.
3. Perform validation and confirm outcome.","Employee Center -> HR Case -> Knowledge -> Resolution completes with correct state, audit trail, and notifications",Medium,Integration,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-HRSD-00050,ServiceNow,Offboarding,Shared Services,Onboarding -> Tasks -> Approvals -> Completion,Integration,Submit Shared Services ServiceNow Offboarding,User has ServiceNow access and Shared Services test data exists,"1. Open Offboarding.
2. Execute: Onboarding -> Tasks -> Approvals -> Completion.
3. Perform validation and confirm outcome.","Onboarding -> Tasks -> Approvals -> Completion completes with correct state, audit trail, and notifications",High,Regression,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-HRSD-00051,ServiceNow,Offboarding,Shared Services,Lifecycle Event -> Notifications -> Case Closure,Integration,Search Shared Services ServiceNow Offboarding,User has ServiceNow access and Shared Services test data exists,"1. Open Offboarding.
2. Execute: Lifecycle Event -> Notifications -> Case Closure.
3. Perform validation and confirm outcome.","Lifecycle Event -> Notifications -> Case Closure completes with correct state, audit trail, and notifications",Medium,Regression,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-HRSD-00052,ServiceNow,Offboarding,Employee Experience,Employee Center -> HR Case -> Knowledge -> Resolution,Functional,Clone Employee Experience ServiceNow Offboarding,User has ServiceNow access and Employee Experience test data exists,"1. Open Offboarding.
2. Execute: Employee Center -> HR Case -> Knowledge -> Resolution.
3. Perform validation and confirm outcome.","Employee Center -> HR Case -> Knowledge -> Resolution completes with correct state, audit trail, and notifications",High,Functional,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
