Test Case ID,Cloud,Module Group,Module,Domain,E2E Flow,Test Type,Test Scenario,Preconditions,Steps,Expected Result,Priority,Type
WD-00011,Workday,HCM,Core HCM,Retail,Supplier Invoice -> Matching -> Approval -> Payment,Workflow,Approve Retail Workday Core HCM,Workday access is provisioned and Retail test data exists,"1. Open Workday Core HCM.
2. Execute: Supplier Invoice -> Matching -> Approval -> Payment.
3. Perform validation and confirm downstream impact.","Supplier Invoice -> Matching -> Approval -> Payment completes successfully with approvals, validations, and audit trail",Low,Integration
WD-00012,Workday,HCM,Core HCM,Retail,Integration Load -> Validate -> Error Handling -> Reprocess,Data Migration,Export Retail Workday Core HCM,Workday access is provisioned and Retail test data exists,"1. Open Workday Core HCM.
2. Execute: Integration Load -> Validate -> Error Handling -> Reprocess.
3. Perform validation and confirm downstream impact.","Integration Load -> Validate -> Error Handling -> Reprocess completes successfully with approvals, validations, and audit trail",High,Security
WD-00013,Workday,HCM,Core HCM,Retail,Recruiting -> Hire -> Onboard -> Time -> Payroll,Security,Export Retail Workday Core HCM,Workday access is provisioned and Retail test data exists,"1. Open Workday Core HCM.
2. Execute: Recruiting -> Hire -> Onboard -> Time -> Payroll.
3. Perform validation and confirm downstream impact.","Recruiting -> Hire -> Onboard -> Time -> Payroll completes successfully with approvals, validations, and audit trail",Low,Integration
WD-00014,Workday,HCM,Core HCM,Retail,Budget -> Expense -> Journal -> Dashboard,Mobile,Route Retail Workday Core HCM,Workday access is provisioned and Retail test data exists,"1. Open Workday Core HCM.
2. Execute: Budget -> Expense -> Journal -> Dashboard.
3. Perform validation and confirm downstream impact.","Budget -> Expense -> Journal -> Dashboard completes successfully with approvals, validations, and audit trail",Low,Workflow
WD-00015,Workday,HCM,Core HCM,Healthcare,Requisition -> Offer -> Hire -> Onboard -> Payroll,Security,Submit Healthcare Workday Core HCM,Workday access is provisioned and Healthcare test data exists,"1. Open Workday Core HCM.
2. Execute: Requisition -> Offer -> Hire -> Onboard -> Payroll.
3. Perform validation and confirm downstream impact.","Requisition -> Offer -> Hire -> Onboard -> Payroll completes successfully with approvals, validations, and audit trail",Medium,Functional
WD-00016,Workday,HCM,Core HCM,Healthcare,Employee Life Event -> Benefits -> Payroll -> Reporting,Mobile,Review Healthcare Workday Core HCM,Workday access is provisioned and Healthcare test data exists,"1. Open Workday Core HCM.
2. Execute: Employee Life Event -> Benefits -> Payroll -> Reporting.
3. Perform validation and confirm downstream impact.","Employee Life Event -> Benefits -> Payroll -> Reporting completes successfully with approvals, validations, and audit trail",Medium,Workflow
WD-00017,Workday,HCM,Core HCM,Healthcare,Expense Submit -> Approval -> Accounting -> Reimbursement,Integration,Reject Healthcare Workday Core HCM,Workday access is provisioned and Healthcare test data exists,"1. Open Workday Core HCM.
2. Execute: Expense Submit -> Approval -> Accounting -> Reimbursement.
3. Perform validation and confirm downstream impact.","Expense Submit -> Approval -> Accounting -> Reimbursement completes successfully with approvals, validations, and audit trail",Medium,Security
WD-00018,Workday,HCM,Core HCM,Healthcare,Supplier Invoice -> Matching -> Approval -> Payment,Workflow,Approve Healthcare Workday Core HCM,Workday access is provisioned and Healthcare test data exists,"1. Open Workday Core HCM.
2. Execute: Supplier Invoice -> Matching -> Approval -> Payment.
3. Perform validation and confirm downstream impact.","Supplier Invoice -> Matching -> Approval -> Payment completes successfully with approvals, validations, and audit trail",High,Functional
WD-00019,Workday,HCM,Core HCM,Healthcare,Integration Load -> Validate -> Error Handling -> Reprocess,Data Migration,Route Healthcare Workday Core HCM,Workday access is provisioned and Healthcare test data exists,"1. Open Workday Core HCM.
2. Execute: Integration Load -> Validate -> Error Handling -> Reprocess.
3. Perform validation and confirm downstream impact.","Integration Load -> Validate -> Error Handling -> Reprocess completes successfully with approvals, validations, and audit trail",High,Security
WD-00020,Workday,HCM,Core HCM,Healthcare,Recruiting -> Hire -> Onboard -> Time -> Payroll,Workflow,Reject Healthcare Workday Core HCM,Workday access is provisioned and Healthcare test data exists,"1. Open Workday Core HCM.
2. Execute: Recruiting -> Hire -> Onboard -> Time -> Payroll.
3. Perform validation and confirm downstream impact.","Recruiting -> Hire -> Onboard -> Time -> Payroll completes successfully with approvals, validations, and audit trail",Low,Performance
WD-00021,Workday,HCM,Core HCM,Healthcare,Budget -> Expense -> Journal -> Dashboard,Data Migration,Approve Healthcare Workday Core HCM,Workday access is provisioned and Healthcare test data exists,"1. Open Workday Core HCM.
2. Execute: Budget -> Expense -> Journal -> Dashboard.
3. Perform validation and confirm downstream impact.","Budget -> Expense -> Journal -> Dashboard completes successfully with approvals, validations, and audit trail",High,Regression
WD-00022,Workday,HCM,Core HCM,Manufacturing,Requisition -> Offer -> Hire -> Onboard -> Payroll,Data Migration,Validate Manufacturing Workday Core HCM,Workday access is provisioned and Manufacturing test data exists,"1. Open Workday Core HCM.
2. Execute: Requisition -> Offer -> Hire -> Onboard -> Payroll.
3. Perform validation and confirm downstream impact.","Requisition -> Offer -> Hire -> Onboard -> Payroll completes successfully with approvals, validations, and audit trail",High,Functional
WD-00023,Workday,HCM,Core HCM,Manufacturing,Employee Life Event -> Benefits -> Payroll -> Reporting,Mobile,Review Manufacturing Workday Core HCM,Workday access is provisioned and Manufacturing test data exists,"1. Open Workday Core HCM.
2. Execute: Employee Life Event -> Benefits -> Payroll -> Reporting.
3. Perform validation and confirm downstream impact.","Employee Life Event -> Benefits -> Payroll -> Reporting completes successfully with approvals, validations, and audit trail",Medium,Regression
WD-00024,Workday,HCM,Core HCM,Manufacturing,Expense Submit -> Approval -> Accounting -> Reimbursement,Accessibility,Review Manufacturing Workday Core HCM,Workday access is provisioned and Manufacturing test data exists,"1. Open Workday Core HCM.
2. Execute: Expense Submit -> Approval -> Accounting -> Reimbursement.
3. Perform validation and confirm downstream impact.","Expense Submit -> Approval -> Accounting -> Reimbursement completes successfully with approvals, validations, and audit trail",Medium,Mobile
WD-00025,Workday,HCM,Core HCM,Manufacturing,Supplier Invoice -> Matching -> Approval -> Payment,Workflow,Approve Manufacturing Workday Core HCM,Workday access is provisioned and Manufacturing test data exists,"1. Open Workday Core HCM.
2. Execute: Supplier Invoice -> Matching -> Approval -> Payment.
3. Perform validation and confirm downstream impact.","Supplier Invoice -> Matching -> Approval -> Payment completes successfully with approvals, validations, and audit trail",Medium,Functional
WD-00026,Workday,HCM,Core HCM,Manufacturing,Integration Load -> Validate -> Error Handling -> Reprocess,Security,Validate Manufacturing Workday Core HCM,Workday access is provisioned and Manufacturing test data exists,"1. Open Workday Core HCM.
2. Execute: Integration Load -> Validate -> Error Handling -> Reprocess.
3. Perform validation and confirm downstream impact.","Integration Load -> Validate -> Error Handling -> Reprocess completes successfully with approvals, validations, and audit trail",Medium,Data Migration
WD-00027,Workday,HCM,Core HCM,Manufacturing,Recruiting -> Hire -> Onboard -> Time -> Payroll,UI,Edit Manufacturing Workday Core HCM,Workday access is provisioned and Manufacturing test data exists,"1. Open Workday Core HCM.
2. Execute: Recruiting -> Hire -> Onboard -> Time -> Payroll.
3. Perform validation and confirm downstream impact.","Recruiting -> Hire -> Onboard -> Time -> Payroll completes successfully with approvals, validations, and audit trail",High,Accessibility
WD-00028,Workday,HCM,Core HCM,Manufacturing,Budget -> Expense -> Journal -> Dashboard,Functional,Approve Manufacturing Workday Core HCM,Workday access is provisioned and Manufacturing test data exists,"1. Open Workday Core HCM.
2. Execute: Budget -> Expense -> Journal -> Dashboard.
3. Perform validation and confirm downstream impact.","Budget -> Expense -> Journal -> Dashboard completes successfully with approvals, validations, and audit trail",Medium,Performance
WD-00029,Workday,HCM,Core HCM,Education,Requisition -> Offer -> Hire -> Onboard -> Payroll,Integration,Import Education Workday Core HCM,Workday access is provisioned and Education test data exists,"1. Open Workday Core HCM.
2. Execute: Requisition -> Offer -> Hire -> Onboard -> Payroll.
3. Perform validation and confirm downstream impact.","Requisition -> Offer -> Hire -> Onboard -> Payroll completes successfully with approvals, validations, and audit trail",High,Performance
WD-00030,Workday,HCM,Core HCM,Education,Employee Life Event -> Benefits -> Payroll -> Reporting,Workflow,Sync Education Workday Core HCM,Workday access is provisioned and Education test data exists,"1. Open Workday Core HCM.
2. Execute: Employee Life Event -> Benefits -> Payroll -> Reporting.
3. Perform validation and confirm downstream impact.","Employee Life Event -> Benefits -> Payroll -> Reporting completes successfully with approvals, validations, and audit trail",High,Mobile
WD-00031,Workday,HCM,Core HCM,Education,Expense Submit -> Approval -> Accounting -> Reimbursement,Workflow,Review Education Workday Core HCM,Workday access is provisioned and Education test data exists,"1. Open Workday Core HCM.
2. Execute: Expense Submit -> Approval -> Accounting -> Reimbursement.
3. Perform validation and confirm downstream impact.","Expense Submit -> Approval -> Accounting -> Reimbursement completes successfully with approvals, validations, and audit trail",Medium,Functional
WD-00032,Workday,HCM,Core HCM,Education,Supplier Invoice -> Matching -> Approval -> Payment,Workflow,Sync Education Workday Core HCM,Workday access is provisioned and Education test data exists,"1. Open Workday Core HCM.
2. Execute: Supplier Invoice -> Matching -> Approval -> Payment.
3. Perform validation and confirm downstream impact.","Supplier Invoice -> Matching -> Approval -> Payment completes successfully with approvals, validations, and audit trail",Medium,Functional
WD-00033,Workday,HCM,Core HCM,Education,Integration Load -> Validate -> Error Handling -> Reprocess,Data Migration,Close Education Workday Core HCM,Workday access is provisioned and Education test data exists,"1. Open Workday Core HCM.
2. Execute: Integration Load -> Validate -> Error Handling -> Reprocess.
3. Perform validation and confirm downstream impact.","Integration Load -> Validate -> Error Handling -> Reprocess completes successfully with approvals, validations, and audit trail",Medium,Data Migration
WD-00034,Workday,HCM,Core HCM,Education,Recruiting -> Hire -> Onboard -> Time -> Payroll,Regression,Update Education Workday Core HCM,Workday access is provisioned and Education test data exists,"1. Open Workday Core HCM.
2. Execute: Recruiting -> Hire -> Onboard -> Time -> Payroll.
3. Perform validation and confirm downstream impact.","Recruiting -> Hire -> Onboard -> Time -> Payroll completes successfully with approvals, validations, and audit trail",Low,Performance
WD-00035,Workday,HCM,Core HCM,Education,Budget -> Expense -> Journal -> Dashboard,Performance,Export Education Workday Core HCM,Workday access is provisioned and Education test data exists,"1. Open Workday Core HCM.
2. Execute: Budget -> Expense -> Journal -> Dashboard.
3. Perform validation and confirm downstream impact.","Budget -> Expense -> Journal -> Dashboard completes successfully with approvals, validations, and audit trail",Medium,Accessibility
WD-00036,Workday,HCM,Core HCM,Nonprofit,Requisition -> Offer -> Hire -> Onboard -> Payroll,Security,Review Nonprofit Workday Core HCM,Workday access is provisioned and Nonprofit test data exists,"1. Open Workday Core HCM.
2. Execute: Requisition -> Offer -> Hire -> Onboard -> Payroll.
3. Perform validation and confirm downstream impact.","Requisition -> Offer -> Hire -> Onboard -> Payroll completes successfully with approvals, validations, and audit trail",Low,Data Migration
WD-00037,Workday,HCM,Core HCM,Nonprofit,Employee Life Event -> Benefits -> Payroll -> Reporting,Workflow,Update Nonprofit Workday Core HCM,Workday access is provisioned and Nonprofit test data exists,"1. Open Workday Core HCM.
2. Execute: Employee Life Event -> Benefits -> Payroll -> Reporting.
3. Perform validation and confirm downstream impact.","Employee Life Event -> Benefits -> Payroll -> Reporting completes successfully with approvals, validations, and audit trail",Low,Performance
WD-00038,Workday,HCM,Core HCM,Nonprofit,Expense Submit -> Approval -> Accounting -> Reimbursement,Performance,Close Nonprofit Workday Core HCM,Workday access is provisioned and Nonprofit test data exists,"1. Open Workday Core HCM.
2. Execute: Expense Submit -> Approval -> Accounting -> Reimbursement.
3. Perform validation and confirm downstream impact.","Expense Submit -> Approval -> Accounting -> Reimbursement completes successfully with approvals, validations, and audit trail",High,Integration
WD-00039,Workday,HCM,Core HCM,Nonprofit,Supplier Invoice -> Matching -> Approval -> Payment,Functional,Update Nonprofit Workday Core HCM,Workday access is provisioned and Nonprofit test data exists,"1. Open Workday Core HCM.
2. Execute: Supplier Invoice -> Matching -> Approval -> Payment.
3. Perform validation and confirm downstream impact.","Supplier Invoice -> Matching -> Approval -> Payment completes successfully with approvals, validations, and audit trail",Low,Regression
WD-00040,Workday,HCM,Core HCM,Nonprofit,Integration Load -> Validate -> Error Handling -> Reprocess,Security,Approve Nonprofit Workday Core HCM,Workday access is provisioned and Nonprofit test data exists,"1. Open Workday Core HCM.
2. Execute: Integration Load -> Validate -> Error Handling -> Reprocess.
3. Perform validation and confirm downstream impact.","Integration Load -> Validate -> Error Handling -> Reprocess completes successfully with approvals, validations, and audit trail",Medium,Data Migration
WD-00041,Workday,HCM,Core HCM,Nonprofit,Recruiting -> Hire -> Onboard -> Time -> Payroll,Functional,Validate Nonprofit Workday Core HCM,Workday access is provisioned and Nonprofit test data exists,"1. Open Workday Core HCM.
2. Execute: Recruiting -> Hire -> Onboard -> Time -> Payroll.
3. Perform validation and confirm downstream impact.","Recruiting -> Hire -> Onboard -> Time -> Payroll completes successfully with approvals, validations, and audit trail",Low,Functional
WD-00042,Workday,HCM,Core HCM,Nonprofit,Budget -> Expense -> Journal -> Dashboard,Security,Validate Nonprofit Workday Core HCM,Workday access is provisioned and Nonprofit test data exists,"1. Open Workday Core HCM.
2. Execute: Budget -> Expense -> Journal -> Dashboard.
3. Perform validation and confirm downstream impact.","Budget -> Expense -> Journal -> Dashboard completes successfully with approvals, validations, and audit trail",Medium,Workflow
WD-00043,Workday,HCM,Core HCM,Financial Services,Requisition -> Offer -> Hire -> Onboard -> Payroll,Functional,Edit Financial Services Workday Core HCM,Workday access is provisioned and Financial Services test data exists,"1. Open Workday Core HCM.
2. Execute: Requisition -> Offer -> Hire -> Onboard -> Payroll.
3. Perform validation and confirm downstream impact.","Requisition -> Offer -> Hire -> Onboard -> Payroll completes successfully with approvals, validations, and audit trail",Medium,UI
WD-00044,Workday,HCM,Core HCM,Financial Services,Employee Life Event -> Benefits -> Payroll -> Reporting,Regression,Edit Financial Services Workday Core HCM,Workday access is provisioned and Financial Services test data exists,"1. Open Workday Core HCM.
2. Execute: Employee Life Event -> Benefits -> Payroll -> Reporting.
3. Perform validation and confirm downstream impact.","Employee Life Event -> Benefits -> Payroll -> Reporting completes successfully with approvals, validations, and audit trail",Medium,Regression
WD-00045,Workday,HCM,Core HCM,Financial Services,Expense Submit -> Approval -> Accounting -> Reimbursement,Functional,Update Financial Services Workday Core HCM,Workday access is provisioned and Financial Services test data exists,"1. Open Workday Core HCM.
2. Execute: Expense Submit -> Approval -> Accounting -> Reimbursement.
3. Perform validation and confirm downstream impact.","Expense Submit -> Approval -> Accounting -> Reimbursement completes successfully with approvals, validations, and audit trail",High,Regression
WD-00046,Workday,HCM,Core HCM,Financial Services,Supplier Invoice -> Matching -> Approval -> Payment,Performance,Create Financial Services Workday Core HCM,Workday access is provisioned and Financial Services test data exists,"1. Open Workday Core HCM.
2. Execute: Supplier Invoice -> Matching -> Approval -> Payment.
3. Perform validation and confirm downstream impact.","Supplier Invoice -> Matching -> Approval -> Payment completes successfully with approvals, validations, and audit trail",High,UI
WD-00047,Workday,HCM,Core HCM,Financial Services,Integration Load -> Validate -> Error Handling -> Reprocess,Functional,Sync Financial Services Workday Core HCM,Workday access is provisioned and Financial Services test data exists,"1. Open Workday Core HCM.
2. Execute: Integration Load -> Validate -> Error Handling -> Reprocess.
3. Perform validation and confirm downstream impact.","Integration Load -> Validate -> Error Handling -> Reprocess completes successfully with approvals, validations, and audit trail",High,Functional
WD-00048,Workday,HCM,Core HCM,Financial Services,Recruiting -> Hire -> Onboard -> Time -> Payroll,Mobile,Update Financial Services Workday Core HCM,Workday access is provisioned and Financial Services test data exists,"1. Open Workday Core HCM.
2. Execute: Recruiting -> Hire -> Onboard -> Time -> Payroll.
3. Perform validation and confirm downstream impact.","Recruiting -> Hire -> Onboard -> Time -> Payroll completes successfully with approvals, validations, and audit trail",Low,Security
WD-00049,Workday,HCM,Core HCM,Financial Services,Budget -> Expense -> Journal -> Dashboard,Accessibility,Approve Financial Services Workday Core HCM,Workday access is provisioned and Financial Services test data exists,"1. Open Workday Core HCM.
2. Execute: Budget -> Expense -> Journal -> Dashboard.
3. Perform validation and confirm downstream impact.","Budget -> Expense -> Journal -> Dashboard completes successfully with approvals, validations, and audit trail",Low,Accessibility
WD-00050,Workday,HCM,Core HCM,Technology,Requisition -> Offer -> Hire -> Onboard -> Payroll,Workflow,Import Technology Workday Core HCM,Workday access is provisioned and Technology test data exists,"1. Open Workday Core HCM.
2. Execute: Requisition -> Offer -> Hire -> Onboard -> Payroll.
3. Perform validation and confirm downstream impact.","Requisition -> Offer -> Hire -> Onboard -> Payroll completes successfully with approvals, validations, and audit trail",Medium,Regression
WD-00051,Workday,HCM,Core HCM,Technology,Employee Life Event -> Benefits -> Payroll -> Reporting,Regression,Update Technology Workday Core HCM,Workday access is provisioned and Technology test data exists,"1. Open Workday Core HCM.
2. Execute: Employee Life Event -> Benefits -> Payroll -> Reporting.
3. Perform validation and confirm downstream impact.","Employee Life Event -> Benefits -> Payroll -> Reporting completes successfully with approvals, validations, and audit trail",Medium,Accessibility
WD-00052,Workday,HCM,Core HCM,Technology,Expense Submit -> Approval -> Accounting -> Reimbursement,Workflow,Close Technology Workday Core HCM,Workday access is provisioned and Technology test data exists,"1. Open Workday Core HCM.
2. Execute: Expense Submit -> Approval -> Accounting -> Reimbursement.
3. Perform validation and confirm downstream impact.","Expense Submit -> Approval -> Accounting -> Reimbursement completes successfully with approvals, validations, and audit trail",Medium,Regression
WD-00053,Workday,HCM,Core HCM,Technology,Supplier Invoice -> Matching -> Approval -> Payment,Functional,Validate Technology Workday Core HCM,Workday access is provisioned and Technology test data exists,"1. Open Workday Core HCM.
2. Execute: Supplier Invoice -> Matching -> Approval -> Payment.
3. Perform validation and confirm downstream impact.","Supplier Invoice -> Matching -> Approval -> Payment completes successfully with approvals, validations, and audit trail",High,UI
WD-00054,Workday,HCM,Core HCM,Technology,Integration Load -> Validate -> Error Handling -> Reprocess,Accessibility,Sync Technology Workday Core HCM,Workday access is provisioned and Technology test data exists,"1. Open Workday Core HCM.
2. Execute: Integration Load -> Validate -> Error Handling -> Reprocess.
3. Perform validation and confirm downstream impact.","Integration Load -> Validate -> Error Handling -> Reprocess completes successfully with approvals, validations, and audit trail",Medium,Performance
WD-00055,Workday,HCM,Core HCM,Technology,Recruiting -> Hire -> Onboard -> Time -> Payroll,UI,Update Technology Workday Core HCM,Workday access is provisioned and Technology test data exists,"1. Open Workday Core HCM.
2. Execute: Recruiting -> Hire -> Onboard -> Time -> Payroll.
3. Perform validation and confirm downstream impact.","Recruiting -> Hire -> Onboard -> Time -> Payroll completes successfully with approvals, validations, and audit trail",Low,Integration
WD-00056,Workday,HCM,Core HCM,Technology,Budget -> Expense -> Journal -> Dashboard,Data Migration,Review Technology Workday Core HCM,Workday access is provisioned and Technology test data exists,"1. Open Workday Core HCM.
2. Execute: Budget -> Expense -> Journal -> Dashboard.
3. Perform validation and confirm downstream impact.","Budget -> Expense -> Journal -> Dashboard completes successfully with approvals, validations, and audit trail",Medium,UI
WD-00057,Workday,HCM,Core HCM,Public Sector,Requisition -> Offer -> Hire -> Onboard -> Payroll,Accessibility,Review Public Sector Workday Core HCM,Workday access is provisioned and Public Sector test data exists,"1. Open Workday Core HCM.
2. Execute: Requisition -> Offer -> Hire -> Onboard -> Payroll.
3. Perform validation and confirm downstream impact.","Requisition -> Offer -> Hire -> Onboard -> Payroll completes successfully with approvals, validations, and audit trail",Medium,Accessibility
WD-00058,Workday,HCM,Core HCM,Public Sector,Employee Life Event -> Benefits -> Payroll -> Reporting,Integration,Import Public Sector Workday Core HCM,Workday access is provisioned and Public Sector test data exists,"1. Open Workday Core HCM.
2. Execute: Employee Life Event -> Benefits -> Payroll -> Reporting.
3. Perform validation and confirm downstream impact.","Employee Life Event -> Benefits -> Payroll -> Reporting completes successfully with approvals, validations, and audit trail",Medium,Accessibility
WD-00059,Workday,HCM,Core HCM,Public Sector,Expense Submit -> Approval -> Accounting -> Reimbursement,Integration,Review Public Sector Workday Core HCM,Workday access is provisioned and Public Sector test data exists,"1. Open Workday Core HCM.
2. Execute: Expense Submit -> Approval -> Accounting -> Reimbursement.
3. Perform validation and confirm downstream impact.","Expense Submit -> Approval -> Accounting -> Reimbursement completes successfully with approvals, validations, and audit trail",Medium,Regression
WD-00060,Workday,HCM,Core HCM,Public Sector,Supplier Invoice -> Matching -> Approval -> Payment,Functional,Edit Public Sector Workday Core HCM,Workday access is provisioned and Public Sector test data exists,"1. Open Workday Core HCM.
2. Execute: Supplier Invoice -> Matching -> Approval -> Payment.
3. Perform validation and confirm downstream impact.","Supplier Invoice -> Matching -> Approval -> Payment completes successfully with approvals, validations, and audit trail",High,Functional
WD-00061,Workday,HCM,Core HCM,Public Sector,Integration Load -> Validate -> Error Handling -> Reprocess,Workflow,Sync Public Sector Workday Core HCM,Workday access is provisioned and Public Sector test data exists,"1. Open Workday Core HCM.
2. Execute: Integration Load -> Validate -> Error Handling -> Reprocess.
3. Perform validation and confirm downstream impact.","Integration Load -> Validate -> Error Handling -> Reprocess completes successfully with approvals, validations, and audit trail",Low,Mobile
WD-00062,Workday,HCM,Core HCM,Public Sector,Recruiting -> Hire -> Onboard -> Time -> Payroll,Regression,Validate Public Sector Workday Core HCM,Workday access is provisioned and Public Sector test data exists,"1. Open Workday Core HCM.
2. Execute: Recruiting -> Hire -> Onboard -> Time -> Payroll.
3. Perform validation and confirm downstream impact.","Recruiting -> Hire -> Onboard -> Time -> Payroll completes successfully with approvals, validations, and audit trail",Low,Functional
WD-00063,Workday,HCM,Core HCM,Public Sector,Budget -> Expense -> Journal -> Dashboard,Integration,Import Public Sector Workday Core HCM,Workday access is provisioned and Public Sector test data exists,"1. Open Workday Core HCM.
2. Execute: Budget -> Expense -> Journal -> Dashboard.
3. Perform validation and confirm downstream impact.","Budget -> Expense -> Journal -> Dashboard completes successfully with approvals, validations, and audit trail",Low,Mobile
WD-00064,Workday,HCM,Core HCM,Hospitality,Requisition -> Offer -> Hire -> Onboard -> Payroll,Integration,Route Hospitality Workday Core HCM,Workday access is provisioned and Hospitality test data exists,"1. Open Workday Core HCM.
2. Execute: Requisition -> Offer -> Hire -> Onboard -> Payroll.
3. Perform validation and confirm downstream impact.","Requisition -> Offer -> Hire -> Onboard -> Payroll completes successfully with approvals, validations, and audit trail",High,Regression
WD-00065,Workday,HCM,Core HCM,Hospitality,Employee Life Event -> Benefits -> Payroll -> Reporting,Integration,Submit Hospitality Workday Core HCM,Workday access is provisioned and Hospitality test data exists,"1. Open Workday Core HCM.
2. Execute: Employee Life Event -> Benefits -> Payroll -> Reporting.
3. Perform validation and confirm downstream impact.","Employee Life Event -> Benefits -> Payroll -> Reporting completes successfully with approvals, validations, and audit trail",Low,Security
WD-00066,Workday,HCM,Core HCM,Hospitality,Expense Submit -> Approval -> Accounting -> Reimbursement,Regression,Import Hospitality Workday Core HCM,Workday access is provisioned and Hospitality test data exists,"1. Open Workday Core HCM.
2. Execute: Expense Submit -> Approval -> Accounting -> Reimbursement.
3. Perform validation and confirm downstream impact.","Expense Submit -> Approval -> Accounting -> Reimbursement completes successfully with approvals, validations, and audit trail",Low,Workflow
WD-00067,Workday,HCM,Core HCM,Hospitality,Supplier Invoice -> Matching -> Approval -> Payment,Integration,Create Hospitality Workday Core HCM,Workday access is provisioned and Hospitality test data exists,"1. Open Workday Core HCM.
2. Execute: Supplier Invoice -> Matching -> Approval -> Payment.
3. Perform validation and confirm downstream impact.","Supplier Invoice -> Matching -> Approval -> Payment completes successfully with approvals, validations, and audit trail",Medium,Functional
