Test Case ID,Cloud,Module,Domain,E2E Flow,Test Type,Test Scenario,Preconditions,Steps,Expected Result,Priority,Type
SF-SE-00011,Service,Case,Healthcare Support,Email-to-Case -> Agent Console -> Knowledge -> Resolution,Performance,Search Healthcare Support Service Case,User has Service access and Healthcare Support data is configured,"1. Navigate to Case.
2. Execute: Email-to-Case -> Agent Console -> Knowledge -> Resolution.
3. Perform Search and verify results.",Email-to-Case -> Agent Console -> Knowledge -> Resolution completes successfully with audit trail and validation,Low,Functional
SF-SE-00012,Service,Case,Healthcare Support,Email-to-Case -> Agent Console -> Knowledge -> Resolution,Accessibility,Submit Healthcare Support Service Case,User has Service access and Healthcare Support data is configured,"1. Navigate to Case.
2. Execute: Email-to-Case -> Agent Console -> Knowledge -> Resolution.
3. Perform Submit and verify results.",Email-to-Case -> Agent Console -> Knowledge -> Resolution completes successfully with audit trail and validation,High,Mobile
SF-SE-00013,Service,Case,Financial Support,Case Create -> Route -> Knowledge -> Resolve -> Close,Regression,Bulk Edit Financial Support Service Case,User has Service access and Financial Support data is configured,"1. Navigate to Case.
2. Execute: Case Create -> Route -> Knowledge -> Resolve -> Close.
3. Perform Bulk Edit and verify results.",Case Create -> Route -> Knowledge -> Resolve -> Close completes successfully with audit trail and validation,Low,Accessibility
SF-SE-00014,Service,Case,Financial Support,Case Create -> Route -> Knowledge -> Resolve -> Close,UI,Approve Financial Support Service Case,User has Service access and Financial Support data is configured,"1. Navigate to Case.
2. Execute: Case Create -> Route -> Knowledge -> Resolve -> Close.
3. Perform Approve and verify results.",Case Create -> Route -> Knowledge -> Resolve -> Close completes successfully with audit trail and validation,High,Security
SF-SE-00015,Service,Case,Financial Support,Chat -> Omni-Channel -> Case -> Escalation -> Closure,Performance,Reject Financial Support Service Case,User has Service access and Financial Support data is configured,"1. Navigate to Case.
2. Execute: Chat -> Omni-Channel -> Case -> Escalation -> Closure.
3. Perform Reject and verify results.",Chat -> Omni-Channel -> Case -> Escalation -> Closure completes successfully with audit trail and validation,Low,Mobile
SF-SE-00016,Service,Case,Financial Support,Chat -> Omni-Channel -> Case -> Escalation -> Closure,Security,Close Financial Support Service Case,User has Service access and Financial Support data is configured,"1. Navigate to Case.
2. Execute: Chat -> Omni-Channel -> Case -> Escalation -> Closure.
3. Perform Close and verify results.",Chat -> Omni-Channel -> Case -> Escalation -> Closure completes successfully with audit trail and validation,High,UI
SF-SE-00017,Service,Case,Financial Support,Email-to-Case -> Agent Console -> Knowledge -> Resolution,Mobile,Archive Financial Support Service Case,User has Service access and Financial Support data is configured,"1. Navigate to Case.
2. Execute: Email-to-Case -> Agent Console -> Knowledge -> Resolution.
3. Perform Archive and verify results.",Email-to-Case -> Agent Console -> Knowledge -> Resolution completes successfully with audit trail and validation,Low,Performance
SF-SE-00018,Service,Case,Financial Support,Email-to-Case -> Agent Console -> Knowledge -> Resolution,Security,Export Financial Support Service Case,User has Service access and Financial Support data is configured,"1. Navigate to Case.
2. Execute: Email-to-Case -> Agent Console -> Knowledge -> Resolution.
3. Perform Export and verify results.",Email-to-Case -> Agent Console -> Knowledge -> Resolution completes successfully with audit trail and validation,High,Functional
SF-SE-00019,Service,Case,Manufacturing Support,Case Create -> Route -> Knowledge -> Resolve -> Close,Functional,Close Manufacturing Support Service Case,User has Service access and Manufacturing Support data is configured,"1. Navigate to Case.
2. Execute: Case Create -> Route -> Knowledge -> Resolve -> Close.
3. Perform Close and verify results.",Case Create -> Route -> Knowledge -> Resolve -> Close completes successfully with audit trail and validation,Low,Integration
SF-SE-00020,Service,Case,Manufacturing Support,Case Create -> Route -> Knowledge -> Resolve -> Close,Security,Approve Manufacturing Support Service Case,User has Service access and Manufacturing Support data is configured,"1. Navigate to Case.
2. Execute: Case Create -> Route -> Knowledge -> Resolve -> Close.
3. Perform Approve and verify results.",Case Create -> Route -> Knowledge -> Resolve -> Close completes successfully with audit trail and validation,Medium,Functional
SF-SE-00021,Service,Case,Manufacturing Support,Chat -> Omni-Channel -> Case -> Escalation -> Closure,UI,Search Manufacturing Support Service Case,User has Service access and Manufacturing Support data is configured,"1. Navigate to Case.
2. Execute: Chat -> Omni-Channel -> Case -> Escalation -> Closure.
3. Perform Search and verify results.",Chat -> Omni-Channel -> Case -> Escalation -> Closure completes successfully with audit trail and validation,Low,Mobile
SF-SE-00022,Service,Case,Manufacturing Support,Chat -> Omni-Channel -> Case -> Escalation -> Closure,Performance,Update Manufacturing Support Service Case,User has Service access and Manufacturing Support data is configured,"1. Navigate to Case.
2. Execute: Chat -> Omni-Channel -> Case -> Escalation -> Closure.
3. Perform Update and verify results.",Chat -> Omni-Channel -> Case -> Escalation -> Closure completes successfully with audit trail and validation,Medium,Mobile
SF-SE-00023,Service,Case,Manufacturing Support,Email-to-Case -> Agent Console -> Knowledge -> Resolution,Security,Restore Manufacturing Support Service Case,User has Service access and Manufacturing Support data is configured,"1. Navigate to Case.
2. Execute: Email-to-Case -> Agent Console -> Knowledge -> Resolution.
3. Perform Restore and verify results.",Email-to-Case -> Agent Console -> Knowledge -> Resolution completes successfully with audit trail and validation,Low,Performance
SF-SE-00024,Service,Case,Manufacturing Support,Email-to-Case -> Agent Console -> Knowledge -> Resolution,Accessibility,Sync Manufacturing Support Service Case,User has Service access and Manufacturing Support data is configured,"1. Navigate to Case.
2. Execute: Email-to-Case -> Agent Console -> Knowledge -> Resolution.
3. Perform Sync and verify results.",Email-to-Case -> Agent Console -> Knowledge -> Resolution completes successfully with audit trail and validation,High,Integration
SF-SE-00025,Service,Case,Telecom Support,Case Create -> Route -> Knowledge -> Resolve -> Close,Regression,Reassign Telecom Support Service Case,User has Service access and Telecom Support data is configured,"1. Navigate to Case.
2. Execute: Case Create -> Route -> Knowledge -> Resolve -> Close.
3. Perform Reassign and verify results.",Case Create -> Route -> Knowledge -> Resolve -> Close completes successfully with audit trail and validation,Medium,Mobile
SF-SE-00026,Service,Case,Telecom Support,Case Create -> Route -> Knowledge -> Resolve -> Close,Functional,Export Telecom Support Service Case,User has Service access and Telecom Support data is configured,"1. Navigate to Case.
2. Execute: Case Create -> Route -> Knowledge -> Resolve -> Close.
3. Perform Export and verify results.",Case Create -> Route -> Knowledge -> Resolve -> Close completes successfully with audit trail and validation,High,Mobile
SF-SE-00027,Service,Case,Telecom Support,Chat -> Omni-Channel -> Case -> Escalation -> Closure,Performance,Edit Telecom Support Service Case,User has Service access and Telecom Support data is configured,"1. Navigate to Case.
2. Execute: Chat -> Omni-Channel -> Case -> Escalation -> Closure.
3. Perform Edit and verify results.",Chat -> Omni-Channel -> Case -> Escalation -> Closure completes successfully with audit trail and validation,High,Regression
SF-SE-00028,Service,Case,Telecom Support,Chat -> Omni-Channel -> Case -> Escalation -> Closure,Regression,Submit Telecom Support Service Case,User has Service access and Telecom Support data is configured,"1. Navigate to Case.
2. Execute: Chat -> Omni-Channel -> Case -> Escalation -> Closure.
3. Perform Submit and verify results.",Chat -> Omni-Channel -> Case -> Escalation -> Closure completes successfully with audit trail and validation,Medium,Accessibility
SF-SE-00029,Service,Case,Telecom Support,Email-to-Case -> Agent Console -> Knowledge -> Resolution,Accessibility,Edit Telecom Support Service Case,User has Service access and Telecom Support data is configured,"1. Navigate to Case.
2. Execute: Email-to-Case -> Agent Console -> Knowledge -> Resolution.
3. Perform Edit and verify results.",Email-to-Case -> Agent Console -> Knowledge -> Resolution completes successfully with audit trail and validation,Medium,Security
SF-SE-00030,Service,Case,Telecom Support,Email-to-Case -> Agent Console -> Knowledge -> Resolution,Regression,View Telecom Support Service Case,User has Service access and Telecom Support data is configured,"1. Navigate to Case.
2. Execute: Email-to-Case -> Agent Console -> Knowledge -> Resolution.
3. Perform View and verify results.",Email-to-Case -> Agent Console -> Knowledge -> Resolution completes successfully with audit trail and validation,High,UI
SF-SE-00031,Service,Case,B2B Support,Case Create -> Route -> Knowledge -> Resolve -> Close,Accessibility,Search B2B Support Service Case,User has Service access and B2B Support data is configured,"1. Navigate to Case.
2. Execute: Case Create -> Route -> Knowledge -> Resolve -> Close.
3. Perform Search and verify results.",Case Create -> Route -> Knowledge -> Resolve -> Close completes successfully with audit trail and validation,Medium,Accessibility
SF-SE-00032,Service,Case,B2B Support,Case Create -> Route -> Knowledge -> Resolve -> Close,UI,Submit B2B Support Service Case,User has Service access and B2B Support data is configured,"1. Navigate to Case.
2. Execute: Case Create -> Route -> Knowledge -> Resolve -> Close.
3. Perform Submit and verify results.",Case Create -> Route -> Knowledge -> Resolve -> Close completes successfully with audit trail and validation,Medium,Mobile
SF-SE-00033,Service,Case,B2B Support,Chat -> Omni-Channel -> Case -> Escalation -> Closure,Mobile,Submit B2B Support Service Case,User has Service access and B2B Support data is configured,"1. Navigate to Case.
2. Execute: Chat -> Omni-Channel -> Case -> Escalation -> Closure.
3. Perform Submit and verify results.",Chat -> Omni-Channel -> Case -> Escalation -> Closure completes successfully with audit trail and validation,High,Regression
SF-SE-00034,Service,Case,B2B Support,Chat -> Omni-Channel -> Case -> Escalation -> Closure,Security,Restore B2B Support Service Case,User has Service access and B2B Support data is configured,"1. Navigate to Case.
2. Execute: Chat -> Omni-Channel -> Case -> Escalation -> Closure.
3. Perform Restore and verify results.",Chat -> Omni-Channel -> Case -> Escalation -> Closure completes successfully with audit trail and validation,Medium,Performance
SF-SE-00035,Service,Case,B2B Support,Email-to-Case -> Agent Console -> Knowledge -> Resolution,Security,Bulk Edit B2B Support Service Case,User has Service access and B2B Support data is configured,"1. Navigate to Case.
2. Execute: Email-to-Case -> Agent Console -> Knowledge -> Resolution.
3. Perform Bulk Edit and verify results.",Email-to-Case -> Agent Console -> Knowledge -> Resolution completes successfully with audit trail and validation,Medium,Functional
SF-SE-00036,Service,Case,B2B Support,Email-to-Case -> Agent Console -> Knowledge -> Resolution,Regression,Archive B2B Support Service Case,User has Service access and B2B Support data is configured,"1. Navigate to Case.
2. Execute: Email-to-Case -> Agent Console -> Knowledge -> Resolution.
3. Perform Archive and verify results.",Email-to-Case -> Agent Console -> Knowledge -> Resolution completes successfully with audit trail and validation,Medium,UI
SF-SE-00037,Service,Knowledge,Retail Support,Case Create -> Route -> Knowledge -> Resolve -> Close,Security,View Retail Support Service Knowledge,User has Service access and Retail Support data is configured,"1. Navigate to Knowledge.
2. Execute: Case Create -> Route -> Knowledge -> Resolve -> Close.
3. Perform View and verify results.",Case Create -> Route -> Knowledge -> Resolve -> Close completes successfully with audit trail and validation,Low,Functional
SF-SE-00038,Service,Knowledge,Retail Support,Case Create -> Route -> Knowledge -> Resolve -> Close,Functional,Submit Retail Support Service Knowledge,User has Service access and Retail Support data is configured,"1. Navigate to Knowledge.
2. Execute: Case Create -> Route -> Knowledge -> Resolve -> Close.
3. Perform Submit and verify results.",Case Create -> Route -> Knowledge -> Resolve -> Close completes successfully with audit trail and validation,Low,Performance
SF-SE-00039,Service,Knowledge,Retail Support,Chat -> Omni-Channel -> Case -> Escalation -> Closure,Functional,Archive Retail Support Service Knowledge,User has Service access and Retail Support data is configured,"1. Navigate to Knowledge.
2. Execute: Chat -> Omni-Channel -> Case -> Escalation -> Closure.
3. Perform Archive and verify results.",Chat -> Omni-Channel -> Case -> Escalation -> Closure completes successfully with audit trail and validation,Low,Accessibility
SF-SE-00040,Service,Knowledge,Retail Support,Chat -> Omni-Channel -> Case -> Escalation -> Closure,UI,Close Retail Support Service Knowledge,User has Service access and Retail Support data is configured,"1. Navigate to Knowledge.
2. Execute: Chat -> Omni-Channel -> Case -> Escalation -> Closure.
3. Perform Close and verify results.",Chat -> Omni-Channel -> Case -> Escalation -> Closure completes successfully with audit trail and validation,Low,Security
SF-SE-00041,Service,Knowledge,Retail Support,Email-to-Case -> Agent Console -> Knowledge -> Resolution,Security,Clone Retail Support Service Knowledge,User has Service access and Retail Support data is configured,"1. Navigate to Knowledge.
2. Execute: Email-to-Case -> Agent Console -> Knowledge -> Resolution.
3. Perform Clone and verify results.",Email-to-Case -> Agent Console -> Knowledge -> Resolution completes successfully with audit trail and validation,High,Performance
SF-SE-00042,Service,Knowledge,Retail Support,Email-to-Case -> Agent Console -> Knowledge -> Resolution,Regression,Restore Retail Support Service Knowledge,User has Service access and Retail Support data is configured,"1. Navigate to Knowledge.
2. Execute: Email-to-Case -> Agent Console -> Knowledge -> Resolution.
3. Perform Restore and verify results.",Email-to-Case -> Agent Console -> Knowledge -> Resolution completes successfully with audit trail and validation,Medium,Mobile
SF-SE-00043,Service,Knowledge,Healthcare Support,Case Create -> Route -> Knowledge -> Resolve -> Close,Regression,Edit Healthcare Support Service Knowledge,User has Service access and Healthcare Support data is configured,"1. Navigate to Knowledge.
2. Execute: Case Create -> Route -> Knowledge -> Resolve -> Close.
3. Perform Edit and verify results.",Case Create -> Route -> Knowledge -> Resolve -> Close completes successfully with audit trail and validation,Low,Accessibility
SF-SE-00044,Service,Knowledge,Healthcare Support,Case Create -> Route -> Knowledge -> Resolve -> Close,Functional,Restore Healthcare Support Service Knowledge,User has Service access and Healthcare Support data is configured,"1. Navigate to Knowledge.
2. Execute: Case Create -> Route -> Knowledge -> Resolve -> Close.
3. Perform Restore and verify results.",Case Create -> Route -> Knowledge -> Resolve -> Close completes successfully with audit trail and validation,Medium,Performance
SF-SE-00045,Service,Knowledge,Healthcare Support,Chat -> Omni-Channel -> Case -> Escalation -> Closure,Performance,Search Healthcare Support Service Knowledge,User has Service access and Healthcare Support data is configured,"1. Navigate to Knowledge.
2. Execute: Chat -> Omni-Channel -> Case -> Escalation -> Closure.
3. Perform Search and verify results.",Chat -> Omni-Channel -> Case -> Escalation -> Closure completes successfully with audit trail and validation,Low,Integration
SF-SE-00046,Service,Knowledge,Healthcare Support,Chat -> Omni-Channel -> Case -> Escalation -> Closure,Performance,Update Healthcare Support Service Knowledge,User has Service access and Healthcare Support data is configured,"1. Navigate to Knowledge.
2. Execute: Chat -> Omni-Channel -> Case -> Escalation -> Closure.
3. Perform Update and verify results.",Chat -> Omni-Channel -> Case -> Escalation -> Closure completes successfully with audit trail and validation,Low,UI
SF-SE-00047,Service,Knowledge,Healthcare Support,Email-to-Case -> Agent Console -> Knowledge -> Resolution,UI,View Healthcare Support Service Knowledge,User has Service access and Healthcare Support data is configured,"1. Navigate to Knowledge.
2. Execute: Email-to-Case -> Agent Console -> Knowledge -> Resolution.
3. Perform View and verify results.",Email-to-Case -> Agent Console -> Knowledge -> Resolution completes successfully with audit trail and validation,Medium,Security
SF-SE-00048,Service,Knowledge,Healthcare Support,Email-to-Case -> Agent Console -> Knowledge -> Resolution,Accessibility,Archive Healthcare Support Service Knowledge,User has Service access and Healthcare Support data is configured,"1. Navigate to Knowledge.
2. Execute: Email-to-Case -> Agent Console -> Knowledge -> Resolution.
3. Perform Archive and verify results.",Email-to-Case -> Agent Console -> Knowledge -> Resolution completes successfully with audit trail and validation,Medium,Regression
SF-SE-00049,Service,Knowledge,Financial Support,Case Create -> Route -> Knowledge -> Resolve -> Close,Mobile,Search Financial Support Service Knowledge,User has Service access and Financial Support data is configured,"1. Navigate to Knowledge.
2. Execute: Case Create -> Route -> Knowledge -> Resolve -> Close.
3. Perform Search and verify results.",Case Create -> Route -> Knowledge -> Resolve -> Close completes successfully with audit trail and validation,Low,UI
SF-SE-00050,Service,Knowledge,Financial Support,Case Create -> Route -> Knowledge -> Resolve -> Close,Accessibility,Clone Financial Support Service Knowledge,User has Service access and Financial Support data is configured,"1. Navigate to Knowledge.
2. Execute: Case Create -> Route -> Knowledge -> Resolve -> Close.
3. Perform Clone and verify results.",Case Create -> Route -> Knowledge -> Resolve -> Close completes successfully with audit trail and validation,Low,Functional
SF-SE-00051,Service,Knowledge,Financial Support,Chat -> Omni-Channel -> Case -> Escalation -> Closure,Mobile,Export Financial Support Service Knowledge,User has Service access and Financial Support data is configured,"1. Navigate to Knowledge.
2. Execute: Chat -> Omni-Channel -> Case -> Escalation -> Closure.
3. Perform Export and verify results.",Chat -> Omni-Channel -> Case -> Escalation -> Closure completes successfully with audit trail and validation,Low,Integration
SF-SE-00052,Service,Knowledge,Financial Support,Chat -> Omni-Channel -> Case -> Escalation -> Closure,Performance,Clone Financial Support Service Knowledge,User has Service access and Financial Support data is configured,"1. Navigate to Knowledge.
2. Execute: Chat -> Omni-Channel -> Case -> Escalation -> Closure.
3. Perform Clone and verify results.",Chat -> Omni-Channel -> Case -> Escalation -> Closure completes successfully with audit trail and validation,High,Regression
SF-SE-00053,Service,Knowledge,Financial Support,Email-to-Case -> Agent Console -> Knowledge -> Resolution,Accessibility,Archive Financial Support Service Knowledge,User has Service access and Financial Support data is configured,"1. Navigate to Knowledge.
2. Execute: Email-to-Case -> Agent Console -> Knowledge -> Resolution.
3. Perform Archive and verify results.",Email-to-Case -> Agent Console -> Knowledge -> Resolution completes successfully with audit trail and validation,Low,Security
SF-SE-00054,Service,Knowledge,Financial Support,Email-to-Case -> Agent Console -> Knowledge -> Resolution,Regression,View Financial Support Service Knowledge,User has Service access and Financial Support data is configured,"1. Navigate to Knowledge.
2. Execute: Email-to-Case -> Agent Console -> Knowledge -> Resolution.
3. Perform View and verify results.",Email-to-Case -> Agent Console -> Knowledge -> Resolution completes successfully with audit trail and validation,High,Mobile
SF-SE-00055,Service,Knowledge,Manufacturing Support,Case Create -> Route -> Knowledge -> Resolve -> Close,UI,Archive Manufacturing Support Service Knowledge,User has Service access and Manufacturing Support data is configured,"1. Navigate to Knowledge.
2. Execute: Case Create -> Route -> Knowledge -> Resolve -> Close.
3. Perform Archive and verify results.",Case Create -> Route -> Knowledge -> Resolve -> Close completes successfully with audit trail and validation,Low,UI
SF-SE-00056,Service,Knowledge,Manufacturing Support,Case Create -> Route -> Knowledge -> Resolve -> Close,Accessibility,Clone Manufacturing Support Service Knowledge,User has Service access and Manufacturing Support data is configured,"1. Navigate to Knowledge.
2. Execute: Case Create -> Route -> Knowledge -> Resolve -> Close.
3. Perform Clone and verify results.",Case Create -> Route -> Knowledge -> Resolve -> Close completes successfully with audit trail and validation,Low,UI
SF-SE-00057,Service,Knowledge,Manufacturing Support,Chat -> Omni-Channel -> Case -> Escalation -> Closure,Security,Reassign Manufacturing Support Service Knowledge,User has Service access and Manufacturing Support data is configured,"1. Navigate to Knowledge.
2. Execute: Chat -> Omni-Channel -> Case -> Escalation -> Closure.
3. Perform Reassign and verify results.",Chat -> Omni-Channel -> Case -> Escalation -> Closure completes successfully with audit trail and validation,Low,Mobile
SF-SE-00058,Service,Knowledge,Manufacturing Support,Chat -> Omni-Channel -> Case -> Escalation -> Closure,Mobile,Archive Manufacturing Support Service Knowledge,User has Service access and Manufacturing Support data is configured,"1. Navigate to Knowledge.
2. Execute: Chat -> Omni-Channel -> Case -> Escalation -> Closure.
3. Perform Archive and verify results.",Chat -> Omni-Channel -> Case -> Escalation -> Closure completes successfully with audit trail and validation,Medium,Mobile
SF-SE-00059,Service,Knowledge,Manufacturing Support,Email-to-Case -> Agent Console -> Knowledge -> Resolution,Accessibility,Sync Manufacturing Support Service Knowledge,User has Service access and Manufacturing Support data is configured,"1. Navigate to Knowledge.
2. Execute: Email-to-Case -> Agent Console -> Knowledge -> Resolution.
3. Perform Sync and verify results.",Email-to-Case -> Agent Console -> Knowledge -> Resolution completes successfully with audit trail and validation,High,Integration
SF-SE-00060,Service,Knowledge,Manufacturing Support,Email-to-Case -> Agent Console -> Knowledge -> Resolution,Mobile,Reject Manufacturing Support Service Knowledge,User has Service access and Manufacturing Support data is configured,"1. Navigate to Knowledge.
2. Execute: Email-to-Case -> Agent Console -> Knowledge -> Resolution.
3. Perform Reject and verify results.",Email-to-Case -> Agent Console -> Knowledge -> Resolution completes successfully with audit trail and validation,Low,UI
SF-SE-00061,Service,Knowledge,Telecom Support,Case Create -> Route -> Knowledge -> Resolve -> Close,Performance,Search Telecom Support Service Knowledge,User has Service access and Telecom Support data is configured,"1. Navigate to Knowledge.
2. Execute: Case Create -> Route -> Knowledge -> Resolve -> Close.
3. Perform Search and verify results.",Case Create -> Route -> Knowledge -> Resolve -> Close completes successfully with audit trail and validation,High,Accessibility
SF-SE-00062,Service,Knowledge,Telecom Support,Case Create -> Route -> Knowledge -> Resolve -> Close,UI,Create Telecom Support Service Knowledge,User has Service access and Telecom Support data is configured,"1. Navigate to Knowledge.
2. Execute: Case Create -> Route -> Knowledge -> Resolve -> Close.
3. Perform Create and verify results.",Case Create -> Route -> Knowledge -> Resolve -> Close completes successfully with audit trail and validation,Medium,Performance
SF-SE-00063,Service,Knowledge,Telecom Support,Chat -> Omni-Channel -> Case -> Escalation -> Closure,Integration,Submit Telecom Support Service Knowledge,User has Service access and Telecom Support data is configured,"1. Navigate to Knowledge.
2. Execute: Chat -> Omni-Channel -> Case -> Escalation -> Closure.
3. Perform Submit and verify results.",Chat -> Omni-Channel -> Case -> Escalation -> Closure completes successfully with audit trail and validation,Low,Performance
SF-SE-00064,Service,Knowledge,Telecom Support,Chat -> Omni-Channel -> Case -> Escalation -> Closure,Performance,Approve Telecom Support Service Knowledge,User has Service access and Telecom Support data is configured,"1. Navigate to Knowledge.
2. Execute: Chat -> Omni-Channel -> Case -> Escalation -> Closure.
3. Perform Approve and verify results.",Chat -> Omni-Channel -> Case -> Escalation -> Closure completes successfully with audit trail and validation,High,Security
SF-SE-00065,Service,Knowledge,Telecom Support,Email-to-Case -> Agent Console -> Knowledge -> Resolution,Accessibility,Reassign Telecom Support Service Knowledge,User has Service access and Telecom Support data is configured,"1. Navigate to Knowledge.
2. Execute: Email-to-Case -> Agent Console -> Knowledge -> Resolution.
3. Perform Reassign and verify results.",Email-to-Case -> Agent Console -> Knowledge -> Resolution completes successfully with audit trail and validation,High,Performance
SF-SE-00066,Service,Knowledge,Telecom Support,Email-to-Case -> Agent Console -> Knowledge -> Resolution,Accessibility,Clone Telecom Support Service Knowledge,User has Service access and Telecom Support data is configured,"1. Navigate to Knowledge.
2. Execute: Email-to-Case -> Agent Console -> Knowledge -> Resolution.
3. Perform Clone and verify results.",Email-to-Case -> Agent Console -> Knowledge -> Resolution completes successfully with audit trail and validation,High,Integration
SF-SE-00067,Service,Knowledge,B2B Support,Case Create -> Route -> Knowledge -> Resolve -> Close,Functional,Archive B2B Support Service Knowledge,User has Service access and B2B Support data is configured,"1. Navigate to Knowledge.
2. Execute: Case Create -> Route -> Knowledge -> Resolve -> Close.
3. Perform Archive and verify results.",Case Create -> Route -> Knowledge -> Resolve -> Close completes successfully with audit trail and validation,Low,UI
SF-SE-00068,Service,Knowledge,B2B Support,Case Create -> Route -> Knowledge -> Resolve -> Close,Accessibility,Validate B2B Support Service Knowledge,User has Service access and B2B Support data is configured,"1. Navigate to Knowledge.
2. Execute: Case Create -> Route -> Knowledge -> Resolve -> Close.
3. Perform Validate and verify results.",Case Create -> Route -> Knowledge -> Resolve -> Close completes successfully with audit trail and validation,High,UI
SF-SE-00069,Service,Knowledge,B2B Support,Chat -> Omni-Channel -> Case -> Escalation -> Closure,Performance,Create B2B Support Service Knowledge,User has Service access and B2B Support data is configured,"1. Navigate to Knowledge.
2. Execute: Chat -> Omni-Channel -> Case -> Escalation -> Closure.
3. Perform Create and verify results.",Chat -> Omni-Channel -> Case -> Escalation -> Closure completes successfully with audit trail and validation,Low,Performance
SF-SE-00070,Service,Knowledge,B2B Support,Chat -> Omni-Channel -> Case -> Escalation -> Closure,Performance,Sync B2B Support Service Knowledge,User has Service access and B2B Support data is configured,"1. Navigate to Knowledge.
2. Execute: Chat -> Omni-Channel -> Case -> Escalation -> Closure.
3. Perform Sync and verify results.",Chat -> Omni-Channel -> Case -> Escalation -> Closure completes successfully with audit trail and validation,Low,Performance
