Test Case ID,Suite,Function,Module,Domain,E2E Flow,Test Type,Test Scenario,Preconditions,Steps,Expected Result,Priority,Type,Sample Data
SAP-PP-00012,SAP Ph-II,PP,Production Order,Pharma,Plan -> Execute -> Verify -> Close,Functional,Submit Pharma SAP Production Order,SAP access provisioned and Pharma test data exists,"1. Open Production Order.
2. Execute: Plan -> Execute -> Verify -> Close.
3. Validate posting, output, and audit trail.",Plan -> Execute -> Verify -> Close completes with accounting/logistics integrity and reporting,Low,Regression,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-PP-00013,SAP Ph-II,PP,Production Order,Pharma,Request -> Process -> Approve -> Complete,UI,Update Pharma SAP Production Order,SAP access provisioned and Pharma test data exists,"1. Open Production Order.
2. Execute: Request -> Process -> Approve -> Complete.
3. Validate posting, output, and audit trail.",Request -> Process -> Approve -> Complete completes with accounting/logistics integrity and reporting,Low,Functional,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-PP-00014,SAP Ph-II,PP,Production Order,Pharma,Master Data -> Transaction -> Settlement -> Analytics,Regression,Clone Pharma SAP Production Order,SAP access provisioned and Pharma test data exists,"1. Open Production Order.
2. Execute: Master Data -> Transaction -> Settlement -> Analytics.
3. Validate posting, output, and audit trail.",Master Data -> Transaction -> Settlement -> Analytics completes with accounting/logistics integrity and reporting,Medium,Regression,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-PP-00015,SAP Ph-II,PP,Production Order,Pharma,Order -> Delivery -> Billing -> Accounting,UI,Restore Pharma SAP Production Order,SAP access provisioned and Pharma test data exists,"1. Open Production Order.
2. Execute: Order -> Delivery -> Billing -> Accounting.
3. Validate posting, output, and audit trail.",Order -> Delivery -> Billing -> Accounting completes with accounting/logistics integrity and reporting,Low,Integration,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-PP-00016,SAP Ph-II,PP,Production Order,Automotive,Create -> Approve -> Post -> Report,Security,Search Automotive SAP Production Order,SAP access provisioned and Automotive test data exists,"1. Open Production Order.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate posting, output, and audit trail.",Create -> Approve -> Post -> Report completes with accounting/logistics integrity and reporting,High,Functional,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-PP-00017,SAP Ph-II,PP,Production Order,Automotive,Plan -> Execute -> Verify -> Close,Regression,Clone Automotive SAP Production Order,SAP access provisioned and Automotive test data exists,"1. Open Production Order.
2. Execute: Plan -> Execute -> Verify -> Close.
3. Validate posting, output, and audit trail.",Plan -> Execute -> Verify -> Close completes with accounting/logistics integrity and reporting,High,Workflow,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-PP-00018,SAP Ph-II,PP,Production Order,Automotive,Request -> Process -> Approve -> Complete,Security,Approve Automotive SAP Production Order,SAP access provisioned and Automotive test data exists,"1. Open Production Order.
2. Execute: Request -> Process -> Approve -> Complete.
3. Validate posting, output, and audit trail.",Request -> Process -> Approve -> Complete completes with accounting/logistics integrity and reporting,High,Integration,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-PP-00019,SAP Ph-II,PP,Production Order,Automotive,Master Data -> Transaction -> Settlement -> Analytics,Functional,Restore Automotive SAP Production Order,SAP access provisioned and Automotive test data exists,"1. Open Production Order.
2. Execute: Master Data -> Transaction -> Settlement -> Analytics.
3. Validate posting, output, and audit trail.",Master Data -> Transaction -> Settlement -> Analytics completes with accounting/logistics integrity and reporting,High,Functional,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-PP-00020,SAP Ph-II,PP,Production Order,Automotive,Order -> Delivery -> Billing -> Accounting,Security,Search Automotive SAP Production Order,SAP access provisioned and Automotive test data exists,"1. Open Production Order.
2. Execute: Order -> Delivery -> Billing -> Accounting.
3. Validate posting, output, and audit trail.",Order -> Delivery -> Billing -> Accounting completes with accounting/logistics integrity and reporting,Low,UI,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-PP-00021,SAP Ph-II,PP,Production Order,Banking,Create -> Approve -> Post -> Report,Security,Escalate Banking SAP Production Order,SAP access provisioned and Banking test data exists,"1. Open Production Order.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate posting, output, and audit trail.",Create -> Approve -> Post -> Report completes with accounting/logistics integrity and reporting,High,Performance,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-PP-00022,SAP Ph-II,PP,Production Order,Banking,Plan -> Execute -> Verify -> Close,Functional,Create Banking SAP Production Order,SAP access provisioned and Banking test data exists,"1. Open Production Order.
2. Execute: Plan -> Execute -> Verify -> Close.
3. Validate posting, output, and audit trail.",Plan -> Execute -> Verify -> Close completes with accounting/logistics integrity and reporting,Low,Integration,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-PP-00023,SAP Ph-II,PP,Production Order,Banking,Request -> Process -> Approve -> Complete,Regression,Edit Banking SAP Production Order,SAP access provisioned and Banking test data exists,"1. Open Production Order.
2. Execute: Request -> Process -> Approve -> Complete.
3. Validate posting, output, and audit trail.",Request -> Process -> Approve -> Complete completes with accounting/logistics integrity and reporting,Medium,Functional,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-PP-00024,SAP Ph-II,PP,Production Order,Banking,Master Data -> Transaction -> Settlement -> Analytics,Integration,Update Banking SAP Production Order,SAP access provisioned and Banking test data exists,"1. Open Production Order.
2. Execute: Master Data -> Transaction -> Settlement -> Analytics.
3. Validate posting, output, and audit trail.",Master Data -> Transaction -> Settlement -> Analytics completes with accounting/logistics integrity and reporting,Low,Integration,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-PP-00025,SAP Ph-II,PP,Production Order,Banking,Order -> Delivery -> Billing -> Accounting,Workflow,Submit Banking SAP Production Order,SAP access provisioned and Banking test data exists,"1. Open Production Order.
2. Execute: Order -> Delivery -> Billing -> Accounting.
3. Validate posting, output, and audit trail.",Order -> Delivery -> Billing -> Accounting completes with accounting/logistics integrity and reporting,Medium,Regression,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-PP-00026,SAP Ph-II,PP,Production Order,Utilities,Create -> Approve -> Post -> Report,Functional,Validate Utilities SAP Production Order,SAP access provisioned and Utilities test data exists,"1. Open Production Order.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate posting, output, and audit trail.",Create -> Approve -> Post -> Report completes with accounting/logistics integrity and reporting,Low,Regression,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-PP-00027,SAP Ph-II,PP,Production Order,Utilities,Plan -> Execute -> Verify -> Close,Security,Reject Utilities SAP Production Order,SAP access provisioned and Utilities test data exists,"1. Open Production Order.
2. Execute: Plan -> Execute -> Verify -> Close.
3. Validate posting, output, and audit trail.",Plan -> Execute -> Verify -> Close completes with accounting/logistics integrity and reporting,Medium,Regression,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-PP-00028,SAP Ph-II,PP,Production Order,Utilities,Request -> Process -> Approve -> Complete,Functional,Clone Utilities SAP Production Order,SAP access provisioned and Utilities test data exists,"1. Open Production Order.
2. Execute: Request -> Process -> Approve -> Complete.
3. Validate posting, output, and audit trail.",Request -> Process -> Approve -> Complete completes with accounting/logistics integrity and reporting,High,Performance,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-PP-00029,SAP Ph-II,PP,Production Order,Utilities,Master Data -> Transaction -> Settlement -> Analytics,Performance,Delete Utilities SAP Production Order,SAP access provisioned and Utilities test data exists,"1. Open Production Order.
2. Execute: Master Data -> Transaction -> Settlement -> Analytics.
3. Validate posting, output, and audit trail.",Master Data -> Transaction -> Settlement -> Analytics completes with accounting/logistics integrity and reporting,Low,Regression,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-PP-00030,SAP Ph-II,PP,Production Order,Utilities,Order -> Delivery -> Billing -> Accounting,Regression,Create Utilities SAP Production Order,SAP access provisioned and Utilities test data exists,"1. Open Production Order.
2. Execute: Order -> Delivery -> Billing -> Accounting.
3. Validate posting, output, and audit trail.",Order -> Delivery -> Billing -> Accounting completes with accounting/logistics integrity and reporting,Low,Regression,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-PP-00031,SAP Ph-II,PP,Production Order,CPG,Create -> Approve -> Post -> Report,Workflow,Create CPG SAP Production Order,SAP access provisioned and CPG test data exists,"1. Open Production Order.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate posting, output, and audit trail.",Create -> Approve -> Post -> Report completes with accounting/logistics integrity and reporting,High,Integration,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-PP-00032,SAP Ph-II,PP,Production Order,CPG,Plan -> Execute -> Verify -> Close,UI,Validate CPG SAP Production Order,SAP access provisioned and CPG test data exists,"1. Open Production Order.
2. Execute: Plan -> Execute -> Verify -> Close.
3. Validate posting, output, and audit trail.",Plan -> Execute -> Verify -> Close completes with accounting/logistics integrity and reporting,Medium,Workflow,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-PP-00033,SAP Ph-II,PP,Production Order,CPG,Request -> Process -> Approve -> Complete,Regression,Approve CPG SAP Production Order,SAP access provisioned and CPG test data exists,"1. Open Production Order.
2. Execute: Request -> Process -> Approve -> Complete.
3. Validate posting, output, and audit trail.",Request -> Process -> Approve -> Complete completes with accounting/logistics integrity and reporting,High,Workflow,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-PP-00034,SAP Ph-II,PP,Production Order,CPG,Master Data -> Transaction -> Settlement -> Analytics,UI,Approve CPG SAP Production Order,SAP access provisioned and CPG test data exists,"1. Open Production Order.
2. Execute: Master Data -> Transaction -> Settlement -> Analytics.
3. Validate posting, output, and audit trail.",Master Data -> Transaction -> Settlement -> Analytics completes with accounting/logistics integrity and reporting,Low,Workflow,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-PP-00035,SAP Ph-II,PP,Production Order,CPG,Order -> Delivery -> Billing -> Accounting,Regression,Edit CPG SAP Production Order,SAP access provisioned and CPG test data exists,"1. Open Production Order.
2. Execute: Order -> Delivery -> Billing -> Accounting.
3. Validate posting, output, and audit trail.",Order -> Delivery -> Billing -> Accounting completes with accounting/logistics integrity and reporting,High,Performance,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-PP-00036,SAP Ph-II,PP,Production Order,Public Sector,Create -> Approve -> Post -> Report,Functional,Search Public Sector SAP Production Order,SAP access provisioned and Public Sector test data exists,"1. Open Production Order.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate posting, output, and audit trail.",Create -> Approve -> Post -> Report completes with accounting/logistics integrity and reporting,High,Functional,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-PP-00037,SAP Ph-II,PP,Production Order,Public Sector,Plan -> Execute -> Verify -> Close,Regression,Escalate Public Sector SAP Production Order,SAP access provisioned and Public Sector test data exists,"1. Open Production Order.
2. Execute: Plan -> Execute -> Verify -> Close.
3. Validate posting, output, and audit trail.",Plan -> Execute -> Verify -> Close completes with accounting/logistics integrity and reporting,Low,Functional,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-PP-00038,SAP Ph-II,PP,Production Order,Public Sector,Request -> Process -> Approve -> Complete,UI,Clone Public Sector SAP Production Order,SAP access provisioned and Public Sector test data exists,"1. Open Production Order.
2. Execute: Request -> Process -> Approve -> Complete.
3. Validate posting, output, and audit trail.",Request -> Process -> Approve -> Complete completes with accounting/logistics integrity and reporting,Medium,Integration,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-PP-00039,SAP Ph-II,PP,Production Order,Public Sector,Master Data -> Transaction -> Settlement -> Analytics,Integration,Submit Public Sector SAP Production Order,SAP access provisioned and Public Sector test data exists,"1. Open Production Order.
2. Execute: Master Data -> Transaction -> Settlement -> Analytics.
3. Validate posting, output, and audit trail.",Master Data -> Transaction -> Settlement -> Analytics completes with accounting/logistics integrity and reporting,Medium,Integration,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-PP-00040,SAP Ph-II,PP,Production Order,Public Sector,Order -> Delivery -> Billing -> Accounting,Regression,Create Public Sector SAP Production Order,SAP access provisioned and Public Sector test data exists,"1. Open Production Order.
2. Execute: Order -> Delivery -> Billing -> Accounting.
3. Validate posting, output, and audit trail.",Order -> Delivery -> Billing -> Accounting completes with accounting/logistics integrity and reporting,High,Integration,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-PP-00041,SAP Ph-II,PP,Planning,Manufacturing,Create -> Approve -> Post -> Report,UI,Delete Manufacturing SAP Planning,SAP access provisioned and Manufacturing test data exists,"1. Open Planning.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate posting, output, and audit trail.",Create -> Approve -> Post -> Report completes with accounting/logistics integrity and reporting,High,Security,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-PP-00042,SAP Ph-II,PP,Planning,Manufacturing,Plan -> Execute -> Verify -> Close,Workflow,Approve Manufacturing SAP Planning,SAP access provisioned and Manufacturing test data exists,"1. Open Planning.
2. Execute: Plan -> Execute -> Verify -> Close.
3. Validate posting, output, and audit trail.",Plan -> Execute -> Verify -> Close completes with accounting/logistics integrity and reporting,Medium,Security,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-PP-00043,SAP Ph-II,PP,Planning,Manufacturing,Request -> Process -> Approve -> Complete,Functional,Edit Manufacturing SAP Planning,SAP access provisioned and Manufacturing test data exists,"1. Open Planning.
2. Execute: Request -> Process -> Approve -> Complete.
3. Validate posting, output, and audit trail.",Request -> Process -> Approve -> Complete completes with accounting/logistics integrity and reporting,Low,UI,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-PP-00044,SAP Ph-II,PP,Planning,Manufacturing,Master Data -> Transaction -> Settlement -> Analytics,Functional,Route Manufacturing SAP Planning,SAP access provisioned and Manufacturing test data exists,"1. Open Planning.
2. Execute: Master Data -> Transaction -> Settlement -> Analytics.
3. Validate posting, output, and audit trail.",Master Data -> Transaction -> Settlement -> Analytics completes with accounting/logistics integrity and reporting,High,Performance,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-PP-00045,SAP Ph-II,PP,Planning,Manufacturing,Order -> Delivery -> Billing -> Accounting,Integration,Update Manufacturing SAP Planning,SAP access provisioned and Manufacturing test data exists,"1. Open Planning.
2. Execute: Order -> Delivery -> Billing -> Accounting.
3. Validate posting, output, and audit trail.",Order -> Delivery -> Billing -> Accounting completes with accounting/logistics integrity and reporting,High,Performance,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-PP-00046,SAP Ph-II,PP,Planning,Retail,Create -> Approve -> Post -> Report,Performance,Escalate Retail SAP Planning,SAP access provisioned and Retail test data exists,"1. Open Planning.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate posting, output, and audit trail.",Create -> Approve -> Post -> Report completes with accounting/logistics integrity and reporting,Low,Functional,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-PP-00047,SAP Ph-II,PP,Planning,Retail,Plan -> Execute -> Verify -> Close,Integration,Restore Retail SAP Planning,SAP access provisioned and Retail test data exists,"1. Open Planning.
2. Execute: Plan -> Execute -> Verify -> Close.
3. Validate posting, output, and audit trail.",Plan -> Execute -> Verify -> Close completes with accounting/logistics integrity and reporting,Medium,Workflow,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-PP-00048,SAP Ph-II,PP,Planning,Retail,Request -> Process -> Approve -> Complete,Security,Delete Retail SAP Planning,SAP access provisioned and Retail test data exists,"1. Open Planning.
2. Execute: Request -> Process -> Approve -> Complete.
3. Validate posting, output, and audit trail.",Request -> Process -> Approve -> Complete completes with accounting/logistics integrity and reporting,Low,Functional,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-PP-00049,SAP Ph-II,PP,Planning,Retail,Master Data -> Transaction -> Settlement -> Analytics,Security,Edit Retail SAP Planning,SAP access provisioned and Retail test data exists,"1. Open Planning.
2. Execute: Master Data -> Transaction -> Settlement -> Analytics.
3. Validate posting, output, and audit trail.",Master Data -> Transaction -> Settlement -> Analytics completes with accounting/logistics integrity and reporting,Low,Workflow,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-PP-00050,SAP Ph-II,PP,Planning,Retail,Order -> Delivery -> Billing -> Accounting,Functional,Delete Retail SAP Planning,SAP access provisioned and Retail test data exists,"1. Open Planning.
2. Execute: Order -> Delivery -> Billing -> Accounting.
3. Validate posting, output, and audit trail.",Order -> Delivery -> Billing -> Accounting completes with accounting/logistics integrity and reporting,High,UI,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-PP-00051,SAP Ph-II,PP,Planning,Pharma,Create -> Approve -> Post -> Report,UI,Route Pharma SAP Planning,SAP access provisioned and Pharma test data exists,"1. Open Planning.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate posting, output, and audit trail.",Create -> Approve -> Post -> Report completes with accounting/logistics integrity and reporting,High,Functional,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-PP-00052,SAP Ph-II,PP,Planning,Pharma,Plan -> Execute -> Verify -> Close,Workflow,Submit Pharma SAP Planning,SAP access provisioned and Pharma test data exists,"1. Open Planning.
2. Execute: Plan -> Execute -> Verify -> Close.
3. Validate posting, output, and audit trail.",Plan -> Execute -> Verify -> Close completes with accounting/logistics integrity and reporting,High,Integration,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-PP-00053,SAP Ph-II,PP,Planning,Pharma,Request -> Process -> Approve -> Complete,Regression,Delete Pharma SAP Planning,SAP access provisioned and Pharma test data exists,"1. Open Planning.
2. Execute: Request -> Process -> Approve -> Complete.
3. Validate posting, output, and audit trail.",Request -> Process -> Approve -> Complete completes with accounting/logistics integrity and reporting,High,UI,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-PP-00054,SAP Ph-II,PP,Planning,Pharma,Master Data -> Transaction -> Settlement -> Analytics,Security,Archive Pharma SAP Planning,SAP access provisioned and Pharma test data exists,"1. Open Planning.
2. Execute: Master Data -> Transaction -> Settlement -> Analytics.
3. Validate posting, output, and audit trail.",Master Data -> Transaction -> Settlement -> Analytics completes with accounting/logistics integrity and reporting,Medium,UI,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-PP-00055,SAP Ph-II,PP,Planning,Pharma,Order -> Delivery -> Billing -> Accounting,UI,Approve Pharma SAP Planning,SAP access provisioned and Pharma test data exists,"1. Open Planning.
2. Execute: Order -> Delivery -> Billing -> Accounting.
3. Validate posting, output, and audit trail.",Order -> Delivery -> Billing -> Accounting completes with accounting/logistics integrity and reporting,Low,Regression,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-PP-00056,SAP Ph-II,PP,Planning,Automotive,Create -> Approve -> Post -> Report,Performance,Restore Automotive SAP Planning,SAP access provisioned and Automotive test data exists,"1. Open Planning.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate posting, output, and audit trail.",Create -> Approve -> Post -> Report completes with accounting/logistics integrity and reporting,Medium,Functional,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-PP-00057,SAP Ph-II,PP,Planning,Automotive,Plan -> Execute -> Verify -> Close,Workflow,Update Automotive SAP Planning,SAP access provisioned and Automotive test data exists,"1. Open Planning.
2. Execute: Plan -> Execute -> Verify -> Close.
3. Validate posting, output, and audit trail.",Plan -> Execute -> Verify -> Close completes with accounting/logistics integrity and reporting,High,UI,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
