Test Case ID,Platform,Suite,Module,Domain,E2E Flow,Test Type,Test Scenario,Preconditions,Steps,Expected Result,Priority,Type,Sample Data
VV-CLI-00013,Veeva,Clinical,Study Setup,Medical Devices,Author -> Review -> Sign -> Distribute -> Track,Regression,Edit Medical Devices Veeva Study Setup,User has Veeva access and Medical Devices data is available,"1. Open Study Setup.
2. Execute: Author -> Review -> Sign -> Distribute -> Track.
3. Verify compliance, audit trail, and downstream status.",Author -> Review -> Sign -> Distribute -> Track completes successfully with compliance and audit evidence,Low,Data Migration,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-CLI-00014,Veeva,Clinical,Study Setup,Medical Devices,Plan -> Execute -> Verify -> Close -> Audit,Regression,Approve Medical Devices Veeva Study Setup,User has Veeva access and Medical Devices data is available,"1. Open Study Setup.
2. Execute: Plan -> Execute -> Verify -> Close -> Audit.
3. Verify compliance, audit trail, and downstream status.",Plan -> Execute -> Verify -> Close -> Audit completes successfully with compliance and audit evidence,Medium,Performance,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-CLI-00015,Veeva,Clinical,Study Setup,Medical Devices,Content -> Approval -> HCP Delivery -> Analytics,Integration,Approve Medical Devices Veeva Study Setup,User has Veeva access and Medical Devices data is available,"1. Open Study Setup.
2. Execute: Content -> Approval -> HCP Delivery -> Analytics.
3. Verify compliance, audit trail, and downstream status.",Content -> Approval -> HCP Delivery -> Analytics completes successfully with compliance and audit evidence,Low,Functional,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-CLI-00016,Veeva,Clinical,Study Setup,Consumer Health,Setup -> Review -> Approve -> Publish -> Archive,Workflow,Archive Consumer Health Veeva Study Setup,User has Veeva access and Consumer Health data is available,"1. Open Study Setup.
2. Execute: Setup -> Review -> Approve -> Publish -> Archive.
3. Verify compliance, audit trail, and downstream status.",Setup -> Review -> Approve -> Publish -> Archive completes successfully with compliance and audit evidence,High,Accessibility,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-CLI-00017,Veeva,Clinical,Study Setup,Consumer Health,Create -> Submit -> Approve -> Release -> Monitor,Regression,Approve Consumer Health Veeva Study Setup,User has Veeva access and Consumer Health data is available,"1. Open Study Setup.
2. Execute: Create -> Submit -> Approve -> Release -> Monitor.
3. Verify compliance, audit trail, and downstream status.",Create -> Submit -> Approve -> Release -> Monitor completes successfully with compliance and audit evidence,Low,Security,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-CLI-00018,Veeva,Clinical,Study Setup,Consumer Health,Author -> Review -> Sign -> Distribute -> Track,Functional,Edit Consumer Health Veeva Study Setup,User has Veeva access and Consumer Health data is available,"1. Open Study Setup.
2. Execute: Author -> Review -> Sign -> Distribute -> Track.
3. Verify compliance, audit trail, and downstream status.",Author -> Review -> Sign -> Distribute -> Track completes successfully with compliance and audit evidence,Low,Performance,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-CLI-00019,Veeva,Clinical,Study Setup,Consumer Health,Plan -> Execute -> Verify -> Close -> Audit,UI,Restore Consumer Health Veeva Study Setup,User has Veeva access and Consumer Health data is available,"1. Open Study Setup.
2. Execute: Plan -> Execute -> Verify -> Close -> Audit.
3. Verify compliance, audit trail, and downstream status.",Plan -> Execute -> Verify -> Close -> Audit completes successfully with compliance and audit evidence,High,Accessibility,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-CLI-00020,Veeva,Clinical,Study Setup,Consumer Health,Content -> Approval -> HCP Delivery -> Analytics,Functional,Escalate Consumer Health Veeva Study Setup,User has Veeva access and Consumer Health data is available,"1. Open Study Setup.
2. Execute: Content -> Approval -> HCP Delivery -> Analytics.
3. Verify compliance, audit trail, and downstream status.",Content -> Approval -> HCP Delivery -> Analytics completes successfully with compliance and audit evidence,Low,Regression,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-CLI-00021,Veeva,Clinical,Study Setup,CRO,Setup -> Review -> Approve -> Publish -> Archive,Performance,Submit CRO Veeva Study Setup,User has Veeva access and CRO data is available,"1. Open Study Setup.
2. Execute: Setup -> Review -> Approve -> Publish -> Archive.
3. Verify compliance, audit trail, and downstream status.",Setup -> Review -> Approve -> Publish -> Archive completes successfully with compliance and audit evidence,High,Accessibility,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-CLI-00022,Veeva,Clinical,Study Setup,CRO,Create -> Submit -> Approve -> Release -> Monitor,Accessibility,Clone CRO Veeva Study Setup,User has Veeva access and CRO data is available,"1. Open Study Setup.
2. Execute: Create -> Submit -> Approve -> Release -> Monitor.
3. Verify compliance, audit trail, and downstream status.",Create -> Submit -> Approve -> Release -> Monitor completes successfully with compliance and audit evidence,Medium,Data Migration,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-CLI-00023,Veeva,Clinical,Study Setup,CRO,Author -> Review -> Sign -> Distribute -> Track,Data Migration,Submit CRO Veeva Study Setup,User has Veeva access and CRO data is available,"1. Open Study Setup.
2. Execute: Author -> Review -> Sign -> Distribute -> Track.
3. Verify compliance, audit trail, and downstream status.",Author -> Review -> Sign -> Distribute -> Track completes successfully with compliance and audit evidence,Medium,UI,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-CLI-00024,Veeva,Clinical,Study Setup,CRO,Plan -> Execute -> Verify -> Close -> Audit,Integration,Delete CRO Veeva Study Setup,User has Veeva access and CRO data is available,"1. Open Study Setup.
2. Execute: Plan -> Execute -> Verify -> Close -> Audit.
3. Verify compliance, audit trail, and downstream status.",Plan -> Execute -> Verify -> Close -> Audit completes successfully with compliance and audit evidence,Low,Data Migration,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-CLI-00025,Veeva,Clinical,Study Setup,CRO,Content -> Approval -> HCP Delivery -> Analytics,UI,Submit CRO Veeva Study Setup,User has Veeva access and CRO data is available,"1. Open Study Setup.
2. Execute: Content -> Approval -> HCP Delivery -> Analytics.
3. Verify compliance, audit trail, and downstream status.",Content -> Approval -> HCP Delivery -> Analytics completes successfully with compliance and audit evidence,Low,Functional,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-CLI-00026,Veeva,Clinical,Study Setup,Manufacturing,Setup -> Review -> Approve -> Publish -> Archive,Data Migration,Submit Manufacturing Veeva Study Setup,User has Veeva access and Manufacturing data is available,"1. Open Study Setup.
2. Execute: Setup -> Review -> Approve -> Publish -> Archive.
3. Verify compliance, audit trail, and downstream status.",Setup -> Review -> Approve -> Publish -> Archive completes successfully with compliance and audit evidence,Medium,Performance,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-CLI-00027,Veeva,Clinical,Study Setup,Manufacturing,Create -> Submit -> Approve -> Release -> Monitor,Regression,Edit Manufacturing Veeva Study Setup,User has Veeva access and Manufacturing data is available,"1. Open Study Setup.
2. Execute: Create -> Submit -> Approve -> Release -> Monitor.
3. Verify compliance, audit trail, and downstream status.",Create -> Submit -> Approve -> Release -> Monitor completes successfully with compliance and audit evidence,Medium,Data Migration,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-CLI-00028,Veeva,Clinical,Study Setup,Manufacturing,Author -> Review -> Sign -> Distribute -> Track,Regression,Clone Manufacturing Veeva Study Setup,User has Veeva access and Manufacturing data is available,"1. Open Study Setup.
2. Execute: Author -> Review -> Sign -> Distribute -> Track.
3. Verify compliance, audit trail, and downstream status.",Author -> Review -> Sign -> Distribute -> Track completes successfully with compliance and audit evidence,Medium,Integration,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-CLI-00029,Veeva,Clinical,Study Setup,Manufacturing,Plan -> Execute -> Verify -> Close -> Audit,Regression,Escalate Manufacturing Veeva Study Setup,User has Veeva access and Manufacturing data is available,"1. Open Study Setup.
2. Execute: Plan -> Execute -> Verify -> Close -> Audit.
3. Verify compliance, audit trail, and downstream status.",Plan -> Execute -> Verify -> Close -> Audit completes successfully with compliance and audit evidence,High,Performance,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-CLI-00030,Veeva,Clinical,Study Setup,Manufacturing,Content -> Approval -> HCP Delivery -> Analytics,UI,Submit Manufacturing Veeva Study Setup,User has Veeva access and Manufacturing data is available,"1. Open Study Setup.
2. Execute: Content -> Approval -> HCP Delivery -> Analytics.
3. Verify compliance, audit trail, and downstream status.",Content -> Approval -> HCP Delivery -> Analytics completes successfully with compliance and audit evidence,Medium,Functional,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-CLI-00031,Veeva,Clinical,Site Management,Pharma,Setup -> Review -> Approve -> Publish -> Archive,Performance,Delete Pharma Veeva Site Management,User has Veeva access and Pharma data is available,"1. Open Site Management.
2. Execute: Setup -> Review -> Approve -> Publish -> Archive.
3. Verify compliance, audit trail, and downstream status.",Setup -> Review -> Approve -> Publish -> Archive completes successfully with compliance and audit evidence,Medium,Workflow,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-CLI-00032,Veeva,Clinical,Site Management,Pharma,Create -> Submit -> Approve -> Release -> Monitor,Regression,Create Pharma Veeva Site Management,User has Veeva access and Pharma data is available,"1. Open Site Management.
2. Execute: Create -> Submit -> Approve -> Release -> Monitor.
3. Verify compliance, audit trail, and downstream status.",Create -> Submit -> Approve -> Release -> Monitor completes successfully with compliance and audit evidence,Low,Data Migration,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-CLI-00033,Veeva,Clinical,Site Management,Pharma,Author -> Review -> Sign -> Distribute -> Track,Data Migration,Submit Pharma Veeva Site Management,User has Veeva access and Pharma data is available,"1. Open Site Management.
2. Execute: Author -> Review -> Sign -> Distribute -> Track.
3. Verify compliance, audit trail, and downstream status.",Author -> Review -> Sign -> Distribute -> Track completes successfully with compliance and audit evidence,High,Data Migration,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-CLI-00034,Veeva,Clinical,Site Management,Pharma,Plan -> Execute -> Verify -> Close -> Audit,Data Migration,Approve Pharma Veeva Site Management,User has Veeva access and Pharma data is available,"1. Open Site Management.
2. Execute: Plan -> Execute -> Verify -> Close -> Audit.
3. Verify compliance, audit trail, and downstream status.",Plan -> Execute -> Verify -> Close -> Audit completes successfully with compliance and audit evidence,Medium,UI,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-CLI-00035,Veeva,Clinical,Site Management,Pharma,Content -> Approval -> HCP Delivery -> Analytics,Accessibility,Validate Pharma Veeva Site Management,User has Veeva access and Pharma data is available,"1. Open Site Management.
2. Execute: Content -> Approval -> HCP Delivery -> Analytics.
3. Verify compliance, audit trail, and downstream status.",Content -> Approval -> HCP Delivery -> Analytics completes successfully with compliance and audit evidence,High,UI,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-CLI-00036,Veeva,Clinical,Site Management,Biotech,Setup -> Review -> Approve -> Publish -> Archive,Regression,Escalate Biotech Veeva Site Management,User has Veeva access and Biotech data is available,"1. Open Site Management.
2. Execute: Setup -> Review -> Approve -> Publish -> Archive.
3. Verify compliance, audit trail, and downstream status.",Setup -> Review -> Approve -> Publish -> Archive completes successfully with compliance and audit evidence,Medium,UI,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-CLI-00037,Veeva,Clinical,Site Management,Biotech,Create -> Submit -> Approve -> Release -> Monitor,Data Migration,Approve Biotech Veeva Site Management,User has Veeva access and Biotech data is available,"1. Open Site Management.
2. Execute: Create -> Submit -> Approve -> Release -> Monitor.
3. Verify compliance, audit trail, and downstream status.",Create -> Submit -> Approve -> Release -> Monitor completes successfully with compliance and audit evidence,Low,UI,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-CLI-00038,Veeva,Clinical,Site Management,Biotech,Author -> Review -> Sign -> Distribute -> Track,Functional,Update Biotech Veeva Site Management,User has Veeva access and Biotech data is available,"1. Open Site Management.
2. Execute: Author -> Review -> Sign -> Distribute -> Track.
3. Verify compliance, audit trail, and downstream status.",Author -> Review -> Sign -> Distribute -> Track completes successfully with compliance and audit evidence,High,Regression,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-CLI-00039,Veeva,Clinical,Site Management,Biotech,Plan -> Execute -> Verify -> Close -> Audit,Accessibility,Archive Biotech Veeva Site Management,User has Veeva access and Biotech data is available,"1. Open Site Management.
2. Execute: Plan -> Execute -> Verify -> Close -> Audit.
3. Verify compliance, audit trail, and downstream status.",Plan -> Execute -> Verify -> Close -> Audit completes successfully with compliance and audit evidence,High,Security,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-CLI-00040,Veeva,Clinical,Site Management,Biotech,Content -> Approval -> HCP Delivery -> Analytics,Workflow,Create Biotech Veeva Site Management,User has Veeva access and Biotech data is available,"1. Open Site Management.
2. Execute: Content -> Approval -> HCP Delivery -> Analytics.
3. Verify compliance, audit trail, and downstream status.",Content -> Approval -> HCP Delivery -> Analytics completes successfully with compliance and audit evidence,Medium,Data Migration,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-CLI-00041,Veeva,Clinical,Site Management,Medical Devices,Setup -> Review -> Approve -> Publish -> Archive,Data Migration,Submit Medical Devices Veeva Site Management,User has Veeva access and Medical Devices data is available,"1. Open Site Management.
2. Execute: Setup -> Review -> Approve -> Publish -> Archive.
3. Verify compliance, audit trail, and downstream status.",Setup -> Review -> Approve -> Publish -> Archive completes successfully with compliance and audit evidence,High,Regression,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-CLI-00042,Veeva,Clinical,Site Management,Medical Devices,Create -> Submit -> Approve -> Release -> Monitor,Integration,Search Medical Devices Veeva Site Management,User has Veeva access and Medical Devices data is available,"1. Open Site Management.
2. Execute: Create -> Submit -> Approve -> Release -> Monitor.
3. Verify compliance, audit trail, and downstream status.",Create -> Submit -> Approve -> Release -> Monitor completes successfully with compliance and audit evidence,Low,Security,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-CLI-00043,Veeva,Clinical,Site Management,Medical Devices,Author -> Review -> Sign -> Distribute -> Track,UI,Archive Medical Devices Veeva Site Management,User has Veeva access and Medical Devices data is available,"1. Open Site Management.
2. Execute: Author -> Review -> Sign -> Distribute -> Track.
3. Verify compliance, audit trail, and downstream status.",Author -> Review -> Sign -> Distribute -> Track completes successfully with compliance and audit evidence,High,Data Migration,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-CLI-00044,Veeva,Clinical,Site Management,Medical Devices,Plan -> Execute -> Verify -> Close -> Audit,Workflow,Escalate Medical Devices Veeva Site Management,User has Veeva access and Medical Devices data is available,"1. Open Site Management.
2. Execute: Plan -> Execute -> Verify -> Close -> Audit.
3. Verify compliance, audit trail, and downstream status.",Plan -> Execute -> Verify -> Close -> Audit completes successfully with compliance and audit evidence,Low,Functional,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-CLI-00045,Veeva,Clinical,Site Management,Medical Devices,Content -> Approval -> HCP Delivery -> Analytics,Accessibility,Search Medical Devices Veeva Site Management,User has Veeva access and Medical Devices data is available,"1. Open Site Management.
2. Execute: Content -> Approval -> HCP Delivery -> Analytics.
3. Verify compliance, audit trail, and downstream status.",Content -> Approval -> HCP Delivery -> Analytics completes successfully with compliance and audit evidence,Medium,Security,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-CLI-00046,Veeva,Clinical,Site Management,Consumer Health,Setup -> Review -> Approve -> Publish -> Archive,UI,Approve Consumer Health Veeva Site Management,User has Veeva access and Consumer Health data is available,"1. Open Site Management.
2. Execute: Setup -> Review -> Approve -> Publish -> Archive.
3. Verify compliance, audit trail, and downstream status.",Setup -> Review -> Approve -> Publish -> Archive completes successfully with compliance and audit evidence,Low,Performance,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-CLI-00047,Veeva,Clinical,Site Management,Consumer Health,Create -> Submit -> Approve -> Release -> Monitor,Performance,Edit Consumer Health Veeva Site Management,User has Veeva access and Consumer Health data is available,"1. Open Site Management.
2. Execute: Create -> Submit -> Approve -> Release -> Monitor.
3. Verify compliance, audit trail, and downstream status.",Create -> Submit -> Approve -> Release -> Monitor completes successfully with compliance and audit evidence,Low,Data Migration,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-CLI-00048,Veeva,Clinical,Site Management,Consumer Health,Author -> Review -> Sign -> Distribute -> Track,Integration,Escalate Consumer Health Veeva Site Management,User has Veeva access and Consumer Health data is available,"1. Open Site Management.
2. Execute: Author -> Review -> Sign -> Distribute -> Track.
3. Verify compliance, audit trail, and downstream status.",Author -> Review -> Sign -> Distribute -> Track completes successfully with compliance and audit evidence,Medium,Regression,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-CLI-00049,Veeva,Clinical,Site Management,Consumer Health,Plan -> Execute -> Verify -> Close -> Audit,Performance,Update Consumer Health Veeva Site Management,User has Veeva access and Consumer Health data is available,"1. Open Site Management.
2. Execute: Plan -> Execute -> Verify -> Close -> Audit.
3. Verify compliance, audit trail, and downstream status.",Plan -> Execute -> Verify -> Close -> Audit completes successfully with compliance and audit evidence,Medium,Performance,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-CLI-00050,Veeva,Clinical,Site Management,Consumer Health,Content -> Approval -> HCP Delivery -> Analytics,Accessibility,Delete Consumer Health Veeva Site Management,User has Veeva access and Consumer Health data is available,"1. Open Site Management.
2. Execute: Content -> Approval -> HCP Delivery -> Analytics.
3. Verify compliance, audit trail, and downstream status.",Content -> Approval -> HCP Delivery -> Analytics completes successfully with compliance and audit evidence,High,UI,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-CLI-00051,Veeva,Clinical,Site Management,CRO,Setup -> Review -> Approve -> Publish -> Archive,Data Migration,Update CRO Veeva Site Management,User has Veeva access and CRO data is available,"1. Open Site Management.
2. Execute: Setup -> Review -> Approve -> Publish -> Archive.
3. Verify compliance, audit trail, and downstream status.",Setup -> Review -> Approve -> Publish -> Archive completes successfully with compliance and audit evidence,High,Security,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-CLI-00052,Veeva,Clinical,Site Management,CRO,Create -> Submit -> Approve -> Release -> Monitor,Integration,Validate CRO Veeva Site Management,User has Veeva access and CRO data is available,"1. Open Site Management.
2. Execute: Create -> Submit -> Approve -> Release -> Monitor.
3. Verify compliance, audit trail, and downstream status.",Create -> Submit -> Approve -> Release -> Monitor completes successfully with compliance and audit evidence,Medium,Data Migration,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-CLI-00053,Veeva,Clinical,Site Management,CRO,Author -> Review -> Sign -> Distribute -> Track,Data Migration,Restore CRO Veeva Site Management,User has Veeva access and CRO data is available,"1. Open Site Management.
2. Execute: Author -> Review -> Sign -> Distribute -> Track.
3. Verify compliance, audit trail, and downstream status.",Author -> Review -> Sign -> Distribute -> Track completes successfully with compliance and audit evidence,Low,Functional,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-CLI-00054,Veeva,Clinical,Site Management,CRO,Plan -> Execute -> Verify -> Close -> Audit,Integration,Create CRO Veeva Site Management,User has Veeva access and CRO data is available,"1. Open Site Management.
2. Execute: Plan -> Execute -> Verify -> Close -> Audit.
3. Verify compliance, audit trail, and downstream status.",Plan -> Execute -> Verify -> Close -> Audit completes successfully with compliance and audit evidence,Low,Regression,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-CLI-00055,Veeva,Clinical,Site Management,CRO,Content -> Approval -> HCP Delivery -> Analytics,Regression,Archive CRO Veeva Site Management,User has Veeva access and CRO data is available,"1. Open Site Management.
2. Execute: Content -> Approval -> HCP Delivery -> Analytics.
3. Verify compliance, audit trail, and downstream status.",Content -> Approval -> HCP Delivery -> Analytics completes successfully with compliance and audit evidence,High,Performance,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
