Test Case ID,Cloud,Module,Domain,Test Type,Test Scenario,Preconditions,Steps,Expected Result,Priority,Type
SF-FSC-10013,Financial Services,Person Account,Credit Card,Security,Sync Credit Card Financial Services Person Account Variant B,User has FSC access and Credit Card data is properly mapped to FSC objects,1. Navigate to Person Account in Financial Services Cloud.\n2. Use Sync action on a Credit Card record.\n3. Confirm data and compliance rules.,"Credit Card Person Account B‑variant Sync execution respects household relationships, rollups, and regulatory controls",Low,Security
SF-FSC-10014,Financial Services,Person Account,Credit Card,Data Migration,Search Credit Card Financial Services Person Account Variant B,User has FSC access and Credit Card data is properly mapped to FSC objects,1. Navigate to Person Account in Financial Services Cloud.\n2. Use Search action on a Credit Card record.\n3. Confirm data and compliance rules.,"Credit Card Person Account B‑variant Search execution respects household relationships, rollups, and regulatory controls",Medium,Data Migration
SF-FSC-10015,Financial Services,Person Account,Asset Management,UI,Share Asset Management Financial Services Person Account Variant B,User has FSC access and Asset Management data is properly mapped to FSC objects,1. Navigate to Person Account in Financial Services Cloud.\n2. Use Share action on a Asset Management record.\n3. Confirm data and compliance rules.,"Asset Management Person Account B‑variant Share execution respects household relationships, rollups, and regulatory controls",Medium,UI
SF-FSC-10016,Financial Services,Person Account,Asset Management,Regulatory Audit,Archive Asset Management Financial Services Person Account Variant B,User has FSC access and Asset Management data is properly mapped to FSC objects,1. Navigate to Person Account in Financial Services Cloud.\n2. Use Archive action on a Asset Management record.\n3. Confirm data and compliance rules.,"Asset Management Person Account B‑variant Archive execution respects household relationships, rollups, and regulatory controls",Medium,Regulatory Audit
SF-FSC-10017,Financial Services,Person Account,Brokerage,Performance,Approve Brokerage Financial Services Person Account Variant B,User has FSC access and Brokerage data is properly mapped to FSC objects,1. Navigate to Person Account in Financial Services Cloud.\n2. Use Approve action on a Brokerage record.\n3. Confirm data and compliance rules.,"Brokerage Person Account B‑variant Approve execution respects household relationships, rollups, and regulatory controls",Medium,Performance
SF-FSC-10018,Financial Services,Person Account,Brokerage,Security,Reject Brokerage Financial Services Person Account Variant B,User has FSC access and Brokerage data is properly mapped to FSC objects,1. Navigate to Person Account in Financial Services Cloud.\n2. Use Reject action on a Brokerage record.\n3. Confirm data and compliance rules.,"Brokerage Person Account B‑variant Reject execution respects household relationships, rollups, and regulatory controls",High,Security
SF-FSC-10019,Financial Services,Person Account,Private Banking,Mobile,Export Private Banking Financial Services Person Account Variant B,User has FSC access and Private Banking data is properly mapped to FSC objects,1. Navigate to Person Account in Financial Services Cloud.\n2. Use Export action on a Private Banking record.\n3. Confirm data and compliance rules.,"Private Banking Person Account B‑variant Export execution respects household relationships, rollups, and regulatory controls",High,Mobile
SF-FSC-10020,Financial Services,Person Account,Private Banking,Rollup Validation,Search Private Banking Financial Services Person Account Variant B,User has FSC access and Private Banking data is properly mapped to FSC objects,1. Navigate to Person Account in Financial Services Cloud.\n2. Use Search action on a Private Banking record.\n3. Confirm data and compliance rules.,"Private Banking Person Account B‑variant Search execution respects household relationships, rollups, and regulatory controls",Low,Rollup Validation
SF-FSC-10021,Financial Services,Person Account,Compliance,API,Update Compliance Financial Services Person Account Variant B,User has FSC access and Compliance data is properly mapped to FSC objects,1. Navigate to Person Account in Financial Services Cloud.\n2. Use Update action on a Compliance record.\n3. Confirm data and compliance rules.,"Compliance Person Account B‑variant Update execution respects household relationships, rollups, and regulatory controls",Low,API
SF-FSC-10022,Financial Services,Person Account,Compliance,Relationship Mapping,Create Compliance Financial Services Person Account Variant B,User has FSC access and Compliance data is properly mapped to FSC objects,1. Navigate to Person Account in Financial Services Cloud.\n2. Use Create action on a Compliance record.\n3. Confirm data and compliance rules.,"Compliance Person Account B‑variant Create execution respects household relationships, rollups, and regulatory controls",High,Relationship Mapping
SF-FSC-10023,Financial Services,Person Account,AML/KYC,Functional,Search AML/KYC Financial Services Person Account Variant B,User has FSC access and AML/KYC data is properly mapped to FSC objects,1. Navigate to Person Account in Financial Services Cloud.\n2. Use Search action on a AML/KYC record.\n3. Confirm data and compliance rules.,"AML/KYC Person Account B‑variant Search execution respects household relationships, rollups, and regulatory controls",High,Functional
SF-FSC-10024,Financial Services,Person Account,AML/KYC,KYC/AML,Sync AML/KYC Financial Services Person Account Variant B,User has FSC access and AML/KYC data is properly mapped to FSC objects,1. Navigate to Person Account in Financial Services Cloud.\n2. Use Sync action on a AML/KYC record.\n3. Confirm data and compliance rules.,"AML/KYC Person Account B‑variant Sync execution respects household relationships, rollups, and regulatory controls",High,KYC/AML
SF-FSC-10025,Financial Services,Person Account,Regulatory Reporting,UI,Reject Regulatory Reporting Financial Services Person Account Variant B,User has FSC access and Regulatory Reporting data is properly mapped to FSC objects,1. Navigate to Person Account in Financial Services Cloud.\n2. Use Reject action on a Regulatory Reporting record.\n3. Confirm data and compliance rules.,"Regulatory Reporting Person Account B‑variant Reject execution respects household relationships, rollups, and regulatory controls",Low,UI
SF-FSC-10026,Financial Services,Person Account,Regulatory Reporting,Compliance,Onboard Regulatory Reporting Financial Services Person Account Variant B,User has FSC access and Regulatory Reporting data is properly mapped to FSC objects,1. Navigate to Person Account in Financial Services Cloud.\n2. Use Onboard action on a Regulatory Reporting record.\n3. Confirm data and compliance rules.,"Regulatory Reporting Person Account B‑variant Onboard execution respects household relationships, rollups, and regulatory controls",Medium,Compliance
SF-FSC-10027,Financial Services,Household,Retail Banking,Regression,KYC Verify Retail Banking Financial Services Household Variant B,User has FSC access and Retail Banking data is properly mapped to FSC objects,1. Navigate to Household in Financial Services Cloud.\n2. Use KYC Verify action on a Retail Banking record.\n3. Confirm data and compliance rules.,"Retail Banking Household B‑variant KYC Verify execution respects household relationships, rollups, and regulatory controls",High,Regression
SF-FSC-10028,Financial Services,Household,Retail Banking,API,Reassign Retail Banking Financial Services Household Variant B,User has FSC access and Retail Banking data is properly mapped to FSC objects,1. Navigate to Household in Financial Services Cloud.\n2. Use Reassign action on a Retail Banking record.\n3. Confirm data and compliance rules.,"Retail Banking Household B‑variant Reassign execution respects household relationships, rollups, and regulatory controls",High,API
SF-FSC-10029,Financial Services,Household,Commercial Banking,Relationship Mapping,Submit Commercial Banking Financial Services Household Variant B,User has FSC access and Commercial Banking data is properly mapped to FSC objects,1. Navigate to Household in Financial Services Cloud.\n2. Use Submit action on a Commercial Banking record.\n3. Confirm data and compliance rules.,"Commercial Banking Household B‑variant Submit execution respects household relationships, rollups, and regulatory controls",Medium,Relationship Mapping
SF-FSC-10030,Financial Services,Household,Commercial Banking,Integration,Route Commercial Banking Financial Services Household Variant B,User has FSC access and Commercial Banking data is properly mapped to FSC objects,1. Navigate to Household in Financial Services Cloud.\n2. Use Route action on a Commercial Banking record.\n3. Confirm data and compliance rules.,"Commercial Banking Household B‑variant Route execution respects household relationships, rollups, and regulatory controls",High,Integration
SF-FSC-10031,Financial Services,Household,Wealth Management,Compliance,Delete Wealth Management Financial Services Household Variant B,User has FSC access and Wealth Management data is properly mapped to FSC objects,1. Navigate to Household in Financial Services Cloud.\n2. Use Delete action on a Wealth Management record.\n3. Confirm data and compliance rules.,"Wealth Management Household B‑variant Delete execution respects household relationships, rollups, and regulatory controls",High,Compliance
SF-FSC-10032,Financial Services,Household,Wealth Management,API,Update Wealth Management Financial Services Household Variant B,User has FSC access and Wealth Management data is properly mapped to FSC objects,1. Navigate to Household in Financial Services Cloud.\n2. Use Update action on a Wealth Management record.\n3. Confirm data and compliance rules.,"Wealth Management Household B‑variant Update execution respects household relationships, rollups, and regulatory controls",Low,API
SF-FSC-10033,Financial Services,Household,Investment Banking,Accessibility,Route Investment Banking Financial Services Household Variant B,User has FSC access and Investment Banking data is properly mapped to FSC objects,1. Navigate to Household in Financial Services Cloud.\n2. Use Route action on a Investment Banking record.\n3. Confirm data and compliance rules.,"Investment Banking Household B‑variant Route execution respects household relationships, rollups, and regulatory controls",Medium,Accessibility
SF-FSC-10034,Financial Services,Household,Investment Banking,Integration,KYC Verify Investment Banking Financial Services Household Variant B,User has FSC access and Investment Banking data is properly mapped to FSC objects,1. Navigate to Household in Financial Services Cloud.\n2. Use KYC Verify action on a Investment Banking record.\n3. Confirm data and compliance rules.,"Investment Banking Household B‑variant KYC Verify execution respects household relationships, rollups, and regulatory controls",Medium,Integration
SF-FSC-10035,Financial Services,Household,Insurance,Integration,View Insurance Financial Services Household Variant B,User has FSC access and Insurance data is properly mapped to FSC objects,1. Navigate to Household in Financial Services Cloud.\n2. Use View action on a Insurance record.\n3. Confirm data and compliance rules.,"Insurance Household B‑variant View execution respects household relationships, rollups, and regulatory controls",Medium,Integration
SF-FSC-10036,Financial Services,Household,Insurance,Data Migration,AML Flag Insurance Financial Services Household Variant B,User has FSC access and Insurance data is properly mapped to FSC objects,1. Navigate to Household in Financial Services Cloud.\n2. Use AML Flag action on a Insurance record.\n3. Confirm data and compliance rules.,"Insurance Household B‑variant AML Flag execution respects household relationships, rollups, and regulatory controls",Low,Data Migration
SF-FSC-10037,Financial Services,Household,Mortgage,Regression,Update Mortgage Financial Services Household Variant B,User has FSC access and Mortgage data is properly mapped to FSC objects,1. Navigate to Household in Financial Services Cloud.\n2. Use Update action on a Mortgage record.\n3. Confirm data and compliance rules.,"Mortgage Household B‑variant Update execution respects household relationships, rollups, and regulatory controls",Medium,Regression
SF-FSC-10038,Financial Services,Household,Mortgage,Regression,Reassign Mortgage Financial Services Household Variant B,User has FSC access and Mortgage data is properly mapped to FSC objects,1. Navigate to Household in Financial Services Cloud.\n2. Use Reassign action on a Mortgage record.\n3. Confirm data and compliance rules.,"Mortgage Household B‑variant Reassign execution respects household relationships, rollups, and regulatory controls",High,Regression
SF-FSC-10039,Financial Services,Household,Credit Card,Mobile,KYC Verify Credit Card Financial Services Household Variant B,User has FSC access and Credit Card data is properly mapped to FSC objects,1. Navigate to Household in Financial Services Cloud.\n2. Use KYC Verify action on a Credit Card record.\n3. Confirm data and compliance rules.,"Credit Card Household B‑variant KYC Verify execution respects household relationships, rollups, and regulatory controls",Medium,Mobile
SF-FSC-10040,Financial Services,Household,Credit Card,Compliance,Submit Credit Card Financial Services Household Variant B,User has FSC access and Credit Card data is properly mapped to FSC objects,1. Navigate to Household in Financial Services Cloud.\n2. Use Submit action on a Credit Card record.\n3. Confirm data and compliance rules.,"Credit Card Household B‑variant Submit execution respects household relationships, rollups, and regulatory controls",Medium,Compliance
SF-FSC-10041,Financial Services,Household,Asset Management,Security,Close Asset Management Financial Services Household Variant B,User has FSC access and Asset Management data is properly mapped to FSC objects,1. Navigate to Household in Financial Services Cloud.\n2. Use Close action on a Asset Management record.\n3. Confirm data and compliance rules.,"Asset Management Household B‑variant Close execution respects household relationships, rollups, and regulatory controls",Medium,Security
SF-FSC-10042,Financial Services,Household,Asset Management,Relationship Mapping,View Asset Management Financial Services Household Variant B,User has FSC access and Asset Management data is properly mapped to FSC objects,1. Navigate to Household in Financial Services Cloud.\n2. Use View action on a Asset Management record.\n3. Confirm data and compliance rules.,"Asset Management Household B‑variant View execution respects household relationships, rollups, and regulatory controls",Medium,Relationship Mapping
SF-FSC-10043,Financial Services,Household,Brokerage,Rollup Validation,Reassign Brokerage Financial Services Household Variant B,User has FSC access and Brokerage data is properly mapped to FSC objects,1. Navigate to Household in Financial Services Cloud.\n2. Use Reassign action on a Brokerage record.\n3. Confirm data and compliance rules.,"Brokerage Household B‑variant Reassign execution respects household relationships, rollups, and regulatory controls",Low,Rollup Validation
SF-FSC-10044,Financial Services,Household,Brokerage,API,Approve Brokerage Financial Services Household Variant B,User has FSC access and Brokerage data is properly mapped to FSC objects,1. Navigate to Household in Financial Services Cloud.\n2. Use Approve action on a Brokerage record.\n3. Confirm data and compliance rules.,"Brokerage Household B‑variant Approve execution respects household relationships, rollups, and regulatory controls",High,API
SF-FSC-10045,Financial Services,Household,Private Banking,Regression,Bulk Edit Private Banking Financial Services Household Variant B,User has FSC access and Private Banking data is properly mapped to FSC objects,1. Navigate to Household in Financial Services Cloud.\n2. Use Bulk Edit action on a Private Banking record.\n3. Confirm data and compliance rules.,"Private Banking Household B‑variant Bulk Edit execution respects household relationships, rollups, and regulatory controls",High,Regression
SF-FSC-10046,Financial Services,Household,Private Banking,Relationship Mapping,Clone Private Banking Financial Services Household Variant B,User has FSC access and Private Banking data is properly mapped to FSC objects,1. Navigate to Household in Financial Services Cloud.\n2. Use Clone action on a Private Banking record.\n3. Confirm data and compliance rules.,"Private Banking Household B‑variant Clone execution respects household relationships, rollups, and regulatory controls",Medium,Relationship Mapping
SF-FSC-10047,Financial Services,Household,Compliance,Rollup Validation,Submit Compliance Financial Services Household Variant B,User has FSC access and Compliance data is properly mapped to FSC objects,1. Navigate to Household in Financial Services Cloud.\n2. Use Submit action on a Compliance record.\n3. Confirm data and compliance rules.,"Compliance Household B‑variant Submit execution respects household relationships, rollups, and regulatory controls",Low,Rollup Validation
SF-FSC-10048,Financial Services,Household,Compliance,Regulatory Audit,Bulk Edit Compliance Financial Services Household Variant B,User has FSC access and Compliance data is properly mapped to FSC objects,1. Navigate to Household in Financial Services Cloud.\n2. Use Bulk Edit action on a Compliance record.\n3. Confirm data and compliance rules.,"Compliance Household B‑variant Bulk Edit execution respects household relationships, rollups, and regulatory controls",High,Regulatory Audit
SF-FSC-10049,Financial Services,Household,AML/KYC,Accessibility,Onboard AML/KYC Financial Services Household Variant B,User has FSC access and AML/KYC data is properly mapped to FSC objects,1. Navigate to Household in Financial Services Cloud.\n2. Use Onboard action on a AML/KYC record.\n3. Confirm data and compliance rules.,"AML/KYC Household B‑variant Onboard execution respects household relationships, rollups, and regulatory controls",Low,Accessibility
SF-FSC-10050,Financial Services,Household,AML/KYC,Performance,KYC Verify AML/KYC Financial Services Household Variant B,User has FSC access and AML/KYC data is properly mapped to FSC objects,1. Navigate to Household in Financial Services Cloud.\n2. Use KYC Verify action on a AML/KYC record.\n3. Confirm data and compliance rules.,"AML/KYC Household B‑variant KYC Verify execution respects household relationships, rollups, and regulatory controls",Medium,Performance
SF-FSC-10051,Financial Services,Household,Regulatory Reporting,Integration,Archive Regulatory Reporting Financial Services Household Variant B,User has FSC access and Regulatory Reporting data is properly mapped to FSC objects,1. Navigate to Household in Financial Services Cloud.\n2. Use Archive action on a Regulatory Reporting record.\n3. Confirm data and compliance rules.,"Regulatory Reporting Household B‑variant Archive execution respects household relationships, rollups, and regulatory controls",High,Integration
SF-FSC-10052,Financial Services,Household,Regulatory Reporting,Rollup Validation,Restore Regulatory Reporting Financial Services Household Variant B,User has FSC access and Regulatory Reporting data is properly mapped to FSC objects,1. Navigate to Household in Financial Services Cloud.\n2. Use Restore action on a Regulatory Reporting record.\n3. Confirm data and compliance rules.,"Regulatory Reporting Household B‑variant Restore execution respects household relationships, rollups, and regulatory controls",Medium,Rollup Validation
SF-FSC-10053,Financial Services,Financial Account,Retail Banking,UI,Delete Retail Banking Financial Services Financial Account Variant B,User has FSC access and Retail Banking data is properly mapped to FSC objects,1. Navigate to Financial Account in Financial Services Cloud.\n2. Use Delete action on a Retail Banking record.\n3. Confirm data and compliance rules.,"Retail Banking Financial Account B‑variant Delete execution respects household relationships, rollups, and regulatory controls",High,UI
SF-FSC-10054,Financial Services,Financial Account,Retail Banking,API,Share Retail Banking Financial Services Financial Account Variant B,User has FSC access and Retail Banking data is properly mapped to FSC objects,1. Navigate to Financial Account in Financial Services Cloud.\n2. Use Share action on a Retail Banking record.\n3. Confirm data and compliance rules.,"Retail Banking Financial Account B‑variant Share execution respects household relationships, rollups, and regulatory controls",Medium,API
SF-FSC-10055,Financial Services,Financial Account,Commercial Banking,Regression,Edit Commercial Banking Financial Services Financial Account Variant B,User has FSC access and Commercial Banking data is properly mapped to FSC objects,1. Navigate to Financial Account in Financial Services Cloud.\n2. Use Edit action on a Commercial Banking record.\n3. Confirm data and compliance rules.,"Commercial Banking Financial Account B‑variant Edit execution respects household relationships, rollups, and regulatory controls",Low,Regression
SF-FSC-10056,Financial Services,Financial Account,Commercial Banking,Security,Onboard Commercial Banking Financial Services Financial Account Variant B,User has FSC access and Commercial Banking data is properly mapped to FSC objects,1. Navigate to Financial Account in Financial Services Cloud.\n2. Use Onboard action on a Commercial Banking record.\n3. Confirm data and compliance rules.,"Commercial Banking Financial Account B‑variant Onboard execution respects household relationships, rollups, and regulatory controls",High,Security
SF-FSC-10057,Financial Services,Financial Account,Wealth Management,Performance,Clone Wealth Management Financial Services Financial Account Variant B,User has FSC access and Wealth Management data is properly mapped to FSC objects,1. Navigate to Financial Account in Financial Services Cloud.\n2. Use Clone action on a Wealth Management record.\n3. Confirm data and compliance rules.,"Wealth Management Financial Account B‑variant Clone execution respects household relationships, rollups, and regulatory controls",Low,Performance
SF-FSC-10058,Financial Services,Financial Account,Wealth Management,Compliance,AML Flag Wealth Management Financial Services Financial Account Variant B,User has FSC access and Wealth Management data is properly mapped to FSC objects,1. Navigate to Financial Account in Financial Services Cloud.\n2. Use AML Flag action on a Wealth Management record.\n3. Confirm data and compliance rules.,"Wealth Management Financial Account B‑variant AML Flag execution respects household relationships, rollups, and regulatory controls",Low,Compliance
SF-FSC-10059,Financial Services,Financial Account,Investment Banking,Rollup Validation,Clone Investment Banking Financial Services Financial Account Variant B,User has FSC access and Investment Banking data is properly mapped to FSC objects,1. Navigate to Financial Account in Financial Services Cloud.\n2. Use Clone action on a Investment Banking record.\n3. Confirm data and compliance rules.,"Investment Banking Financial Account B‑variant Clone execution respects household relationships, rollups, and regulatory controls",Low,Rollup Validation
SF-FSC-10060,Financial Services,Financial Account,Investment Banking,Regulatory Audit,Update Investment Banking Financial Services Financial Account Variant B,User has FSC access and Investment Banking data is properly mapped to FSC objects,1. Navigate to Financial Account in Financial Services Cloud.\n2. Use Update action on a Investment Banking record.\n3. Confirm data and compliance rules.,"Investment Banking Financial Account B‑variant Update execution respects household relationships, rollups, and regulatory controls",Low,Regulatory Audit
SF-FSC-10061,Financial Services,Financial Account,Insurance,Compliance,Archive Insurance Financial Services Financial Account Variant B,User has FSC access and Insurance data is properly mapped to FSC objects,1. Navigate to Financial Account in Financial Services Cloud.\n2. Use Archive action on a Insurance record.\n3. Confirm data and compliance rules.,"Insurance Financial Account B‑variant Archive execution respects household relationships, rollups, and regulatory controls",Medium,Compliance
SF-FSC-10062,Financial Services,Financial Account,Insurance,Data Migration,Close Insurance Financial Services Financial Account Variant B,User has FSC access and Insurance data is properly mapped to FSC objects,1. Navigate to Financial Account in Financial Services Cloud.\n2. Use Close action on a Insurance record.\n3. Confirm data and compliance rules.,"Insurance Financial Account B‑variant Close execution respects household relationships, rollups, and regulatory controls",Low,Data Migration
SF-FSC-10063,Financial Services,Financial Account,Mortgage,Security,Sync Mortgage Financial Services Financial Account Variant B,User has FSC access and Mortgage data is properly mapped to FSC objects,1. Navigate to Financial Account in Financial Services Cloud.\n2. Use Sync action on a Mortgage record.\n3. Confirm data and compliance rules.,"Mortgage Financial Account B‑variant Sync execution respects household relationships, rollups, and regulatory controls",High,Security
SF-FSC-10064,Financial Services,Financial Account,Mortgage,UI,Sync Mortgage Financial Services Financial Account Variant B,User has FSC access and Mortgage data is properly mapped to FSC objects,1. Navigate to Financial Account in Financial Services Cloud.\n2. Use Sync action on a Mortgage record.\n3. Confirm data and compliance rules.,"Mortgage Financial Account B‑variant Sync execution respects household relationships, rollups, and regulatory controls",Low,UI
SF-FSC-10065,Financial Services,Financial Account,Credit Card,Accessibility,Create Credit Card Financial Services Financial Account Variant B,User has FSC access and Credit Card data is properly mapped to FSC objects,1. Navigate to Financial Account in Financial Services Cloud.\n2. Use Create action on a Credit Card record.\n3. Confirm data and compliance rules.,"Credit Card Financial Account B‑variant Create execution respects household relationships, rollups, and regulatory controls",Medium,Accessibility
SF-FSC-10066,Financial Services,Financial Account,Credit Card,Functional,View Credit Card Financial Services Financial Account Variant B,User has FSC access and Credit Card data is properly mapped to FSC objects,1. Navigate to Financial Account in Financial Services Cloud.\n2. Use View action on a Credit Card record.\n3. Confirm data and compliance rules.,"Credit Card Financial Account B‑variant View execution respects household relationships, rollups, and regulatory controls",Low,Functional
SF-FSC-10067,Financial Services,Financial Account,Asset Management,Functional,Export Asset Management Financial Services Financial Account Variant B,User has FSC access and Asset Management data is properly mapped to FSC objects,1. Navigate to Financial Account in Financial Services Cloud.\n2. Use Export action on a Asset Management record.\n3. Confirm data and compliance rules.,"Asset Management Financial Account B‑variant Export execution respects household relationships, rollups, and regulatory controls",Low,Functional
SF-FSC-10068,Financial Services,Financial Account,Asset Management,Accessibility,Bulk Edit Asset Management Financial Services Financial Account Variant B,User has FSC access and Asset Management data is properly mapped to FSC objects,1. Navigate to Financial Account in Financial Services Cloud.\n2. Use Bulk Edit action on a Asset Management record.\n3. Confirm data and compliance rules.,"Asset Management Financial Account B‑variant Bulk Edit execution respects household relationships, rollups, and regulatory controls",High,Accessibility
SF-FSC-10069,Financial Services,Financial Account,Brokerage,Mobile,Onboard Brokerage Financial Services Financial Account Variant B,User has FSC access and Brokerage data is properly mapped to FSC objects,1. Navigate to Financial Account in Financial Services Cloud.\n2. Use Onboard action on a Brokerage record.\n3. Confirm data and compliance rules.,"Brokerage Financial Account B‑variant Onboard execution respects household relationships, rollups, and regulatory controls",High,Mobile
SF-FSC-10070,Financial Services,Financial Account,Brokerage,Relationship Mapping,Close Brokerage Financial Services Financial Account Variant B,User has FSC access and Brokerage data is properly mapped to FSC objects,1. Navigate to Financial Account in Financial Services Cloud.\n2. Use Close action on a Brokerage record.\n3. Confirm data and compliance rules.,"Brokerage Financial Account B‑variant Close execution respects household relationships, rollups, and regulatory controls",Low,Relationship Mapping
SF-FSC-10071,Financial Services,Financial Account,Private Banking,Data Migration,Export Private Banking Financial Services Financial Account Variant B,User has FSC access and Private Banking data is properly mapped to FSC objects,1. Navigate to Financial Account in Financial Services Cloud.\n2. Use Export action on a Private Banking record.\n3. Confirm data and compliance rules.,"Private Banking Financial Account B‑variant Export execution respects household relationships, rollups, and regulatory controls",High,Data Migration
SF-FSC-10072,Financial Services,Financial Account,Private Banking,UI,Onboard Private Banking Financial Services Financial Account Variant B,User has FSC access and Private Banking data is properly mapped to FSC objects,1. Navigate to Financial Account in Financial Services Cloud.\n2. Use Onboard action on a Private Banking record.\n3. Confirm data and compliance rules.,"Private Banking Financial Account B‑variant Onboard execution respects household relationships, rollups, and regulatory controls",Medium,UI
SF-FSC-10073,Financial Services,Financial Account,Compliance,Mobile,Route Compliance Financial Services Financial Account Variant B,User has FSC access and Compliance data is properly mapped to FSC objects,1. Navigate to Financial Account in Financial Services Cloud.\n2. Use Route action on a Compliance record.\n3. Confirm data and compliance rules.,"Compliance Financial Account B‑variant Route execution respects household relationships, rollups, and regulatory controls",Medium,Mobile
SF-FSC-10074,Financial Services,Financial Account,Compliance,UI,Route Compliance Financial Services Financial Account Variant B,User has FSC access and Compliance data is properly mapped to FSC objects,1. Navigate to Financial Account in Financial Services Cloud.\n2. Use Route action on a Compliance record.\n3. Confirm data and compliance rules.,"Compliance Financial Account B‑variant Route execution respects household relationships, rollups, and regulatory controls",High,UI
