"ID","Title","Module","Sub-Module","Business Process","Industry","Priority","Type","Layer","Written Against","Roles","Preconditions","Steps","Expected Results","Automation Feasibility","API Hint","Frameworks","Compliance"
"SAP-EWM-EWM-MFS-001","Conveyor Routing","EWM","MFS","Material Flow","All","P1","integration","API","S/4HANA 2026","EWM functional user","MFS configured","1. Create HU task to conveyor
2. Send telegram","Telegram sent to PLC, HU routed automatically","Low","/SCWM/MFS_TELEG_SEND","Gherkin; Playwright (API)",""
"SAP-Basis-BASIS-001","Create and release transport CTS SE10","Basis","CTS","Transport Request Creation and Release","All","P1","positive","API","S/4HANA 2026","Basis functional user","SAP system with workbench org; transport route configured","1. SE10 → Create task.
2. Assign objects.
3. Release task.
4. Release request.","Transport request created; objects assigned; released for import","Medium","SE10 / CTS","Gherkin; Playwright (API)",""
"SAP-Cross-Module-AUTO-010","Automate master data creation via eCATT","Cross-Module","Automation","eCATT Master Data Test","All","P1","positive","API","S/4HANA 2026","Cross-Module functional user","eCATT configured; test script created","1. Execute eCATT script for GL/vendor/material.
2. Review log.
3. Validate records.","Master data created via eCATT; no manual steps; reusable for regression","High","eCATT / SCAT","Gherkin; Playwright (API)",""
"SAP-SCM-SCM-ASR-001","Freight Order to EWM","SCM","TM/EWM","Execution","All","P1","integration","API","S/4HANA 2026","SCM functional user","FO created in TM","1. Create FO in TM
2. Assign deliveries","EWM receives FO data without generating a TU (ASR mode)","Medium","BAPI_OUTB_DELIVERY_CHANGE","Gherkin; Playwright (API)",""
"SAP-TM-TM-ASR-003","Multi-Pick/Multi-Drop FO","TM","EWM/TM","Execution","All","P1","integration","API","S/4HANA 2026","TM functional user","ASR configured","1. Create FO with 2 loading points
2. Check EWM","One FO triggers tasks across multiple EWM warehouses","Medium","Custom RFC / OData","Gherkin; Playwright (API)",""
"SAP-GTS-GTS-EXP-001","Legal Control Check on Sales Order","GTS","Export","Export Control","All","P1","integration","API","S/4HANA 2026","GTS functional user","SO created with controlled product","1. Create SO in S/4
2. Transfer to GTS
3. Legal control check","SO blocked due to missing export license","High","/SAPSLL/CD_XFER_SD0A","Gherkin; Playwright (API)",""
"SAP-BRIM-BRIM-CI-002","Execute Billing & Invoicing Run","BRIM","Convergent Invoicing","Billing & Invoicing","Utilities","P1","positive","API","S/4HANA 2026","BRIM functional user","Billable items exist","1. FKKBIX_BILL (Billing)
2. FKKINV_INV (Invoicing)","Invoice created, FI-CA document posted","High","BAPI_FKKINV_INV_CREATE","Gherkin; Playwright (API)",""
"SAP-IS-H-HC-IS-001","Admit patient IS-H NPA1","IS-H","Patient Management","Patient Admission","Healthcare","P1","positive","API","S/4HANA 2026","IS-H functional user","IS-H (Industry Solution Healthcare) configured; ward/bed available","1. NPA1 → Patient admission
2. Search/create patient master
3. Select ward + bed
4. Enter diagnosis
5. Confirm insurance","Patient admitted; bed occupied; insurance verified; case created; cost object (case) for billing","High","BAPI_PAT_CASE_CREATEFROMDATA","Gherkin; Playwright (API)",""
"SAP-IS-U-IS-UT-001","Create and dispatch meter reading order EL26","IS-U","Device Management","Meter Reading Import","Utilities","P1","positive","API","S/4HANA 2026","IS-U functional user","IS-U configured; device; installation","1. EL26 Reading order for route
2. Export to mobile
3. Import readings
4. Plausibility check","Readings imported; estimates for missed meters; billing triggered after import","High","IDoc MREQAD01","Gherkin; Playwright (API)",""
"SAP-IS-Retail-RT-POS-001","Process POS Inbound Sales","IS-Retail","POS Inbound","POS Sales","Retail","P1","integration","API","S/4HANA 2026","IS-Retail functional user","WPUBON IDoc exists","1. WPER
2. Monitor IDoc processing","Revenue posted to CO-PA; inventory reduced systematically","High","BAPI_POSORDER_SAVE","Gherkin; Playwright (API)",""
"SAP-IS-Auto-AUTO-JIT-001","Receive JIT Call","IS-Auto","JIT/JIS","JIT Inbound","All","P1","integration","API","S/4HANA 2026","IS-Auto functional user","JIT scheduling active","1. JITM
2. Monitor inbound EDI","JIT call created automatically from customer EDI message","High","BAPI_JITCALL_CREATE","Gherkin; Playwright (API)",""
"SAP-IS-Banking-BNK-CML-001","Create Mortgage Loan","IS-Banking","Loans Mgmt","Loan Origination","Banking","P1","positive","API","S/4HANA 2026","IS-Banking functional user","Business Partner (FS-BP) exists","1. FN1M
2. Enter product type
3. Save","Loan contract created and registered in Loans Management","High","BAPI_LOAN_CONTRACT_CREATE","Gherkin; Playwright (API)",""
"SAP-IND-Pharma-IND-PH-009","Validate DSCSA serialization on outbound shipment","IND-Pharma","Serialization","DSCSA Serialization","Pharma","P1","positive","API","S/4HANA 2026","IND-Pharma functional user","Serialization active; serial numbers assigned to batch","1. Create delivery.
2. Verify serial numbers on each saleable unit.
3. Transmit EPCIS.","Serial numbers verified; EPCIS event transmitted; DSCSA compliance confirmed","Medium","ATTP / EPCIS transmission","Gherkin; Playwright (API)",""
"SAP-IND-Mfg-IND-MFG-008","Produce variant-configured product","IND-Mfg","Discrete Manufacturing","Variant Configuration Production","Manufacturing","P1","integration","API","S/4HANA 2026","IND-Mfg functional user","Variant configuration active; SO with configuration","1. Create SO with configuration.
2. MRP creates planned order.
3. Produce configured product.","Correct variant produced per SO configuration; BOM exploded per variant","Low","CK11N / variant config / CO01","Gherkin; Playwright (API)",""
"SAP-IND-Retail-IND-RET-007","Activate promotional price for article","IND-Retail","Promotion","Promotion Price Activation","Retail","P1","integration","API","S/4HANA 2026","IND-Retail functional user","Promotion type configured; article and validity dates set","1. Create promotion.
2. Set promotional price.
3. Activate.
4. Test POS price.","Promotional price active in POS during validity period; reverting after end","Medium","VK11 / promotion pricing","Gherkin; Playwright (API)",""
"SAP-IND-Banking-IND-BNK-005","Create money market transaction in SAP Treasury","IND-Banking","Treasury","Money Market Deal","Banking","P1","positive","API","S/4HANA 2026","IND-Banking functional user","Treasury module active; house bank configured","1. TM02 → Create MM deal.
2. Enter counterparty and rates.
3. Confirm.","Money market deal created; cash flow generated; settlement scheduled","Low","TM02 / money market","Gherkin; Playwright (API)",""
"SAP-IND-Other-IND-OG-003","Allocate joint venture costs to partners","IND-Other","Oil & Gas","Joint Venture Accounting","Oil & Gas","P1","integration","API","S/4HANA 2026","IND-Other functional user","JVA module active; partners and percentages configured","1. Post joint venture costs.
2. Run JVA allocation.
3. Invoice partners.","Costs allocated to JV partners per ownership percentage; partner invoices created","Low","JVA / joint venture accounting","Gherkin; Playwright (API)",""
"SAP-FI-IHC-BNK-IHC-001","Process IHC Payment","FI-IHC","In-House Cash","Intercompany","Banking","P2","positive","API","S/4HANA 2026","FI-IHC functional user","IHC routing setup","1. IHC0
2. Enter payment order
3. Post","IHC internal payment order processed through central clearing","High","BAPI_IHC_PAYEXT_CREATE","Gherkin; Playwright (API)","Supports SOX ITGC change-control evidence; retain the executed log"
"SAP-MasterData-MDG-BP-001","Create BP via Change Request","MasterData","MDG","Master Data","All","P1","positive","API","S/4HANA 2026","MasterData functional user","MDG active","1. NWBC
2. Create BP Change Request
3. Submit","CR routed for approval; BP inactive until approved","High","USMD_OVP_GEN","Gherkin; Playwright (API)",""
"SAP-PSM-GM-PUB-GM-001","Create Grant Master","PSM-GM","Grants Mgmt","Grant Award","Public Sector","P1","positive","API","S/4HANA 2026","PSM-GM functional user","Sponsor exists","1. GMGRANT01
2. Enter details","Grant master created and activated for budget allocations","High","BAPI_GRANT_MAINTAIN","Gherkin; Playwright (API)",""
"SAP-FI-BNK-TR-001","Configure and run cash pooling","FI","Treasury","Cash Pool Header","Banking","P1","positive","API","S/4HANA 2026","FI functional user","House bank; bank accounts; FSCM configured","1. FI12 → Configure bank account
2. F110 → Payment run across pool accounts
3. Notional pooling calculation
4. Interest posting","Cash pool balances consolidated; interest calculated at group level; intercompany clearing entries posted","Medium","BAPI_BANK_CREATE","Gherkin; Playwright (API)","Supports SOX ITGC change-control evidence; retain the executed log"
"SAP-CO-CO-ADD-011","Realignment Run","CO","PA","Master Data","All","P1","positive","API","S/4HANA 2026","CO functional user","Organizational changes made","1. KEND
2. Define realignment
3. Execute","Historical COPA documents updated with new hierarchy parameters","Low","SUBMIT RKERD000","Gherkin; Playwright (API)","Supports SOX ITGC change-control evidence; retain the executed log"
"SAP-MM-INT-P2P-001","Complete P2P flow PR→PO→GR→MIRO→F110","MM","Procure to Pay","Procure-to-Pay End-to-End","All","P1","integration","API","S/4HANA 2026","MM functional user","Vendor master; material master; GL accounts; bank; all authorizations","1. ME51N → Create PR
2. Approve PR (workflow)
3. ME21N → Create PO referencing PR
4. MIGO → Post GR against PO
5. MIRO → Post vendor invoice (3-way match)
6. F110 → Payment run
7. Verify vendor balance = 0","P2P cycle complete; no open items; vendor paid; audit trail from PR through payment; FI balanced","High","BAPI_PR_CREATE + BAPI_PO_CREATE1 + BAPI_GOODSMVT_CREATE + BAPI_INCOMINGINVOICE_CREATE + BAPI_PAYMENT_MAINTAIN","Gherkin; Playwright (API)",""
"SAP-SD-INT-O2C-001","Complete O2C flow VA01→VL01N→VF01→FI","SD","Order to Cash","Order-to-Cash End-to-End","All","P1","integration","API","S/4HANA 2026","SD functional user","Customer master; material in stock; pricing; billing; bank","1. VA01 → Create standard sales order OR
2. VL01N → Create outbound delivery
3. VL02N → Post goods issue
4. VF01 → Create invoice
5. F-28 → Post incoming payment
6. Verify customer balance = 0","O2C cycle complete; stock reduced; revenue recognized; customer paid; FI balanced; no open items","High","BAPI_SALESORDER_CREATEFROMDAT2 + BAPI_OUTB_DELIVERY_CREATE_SLS + BAPI_BILLINGDOC_CREATE + BAPI_ACC_DOCUMENT_POST","Gherkin; Playwright (API)",""
"SAP-PP-INT-PP-MM-001","Verify MM reservation on PO release","PP","PP-MM Integration","Component Reservation on Order Release","All","P1","integration","API","S/4HANA 2026","PP functional user","Production order released; components in BOM","1. CO02 Release order
2. MB25 Reservations
3. MB54 Reservation list","Component reservations created; qty reserved in plant; MRP respects reservation","High","BAPI_PRODORD_CREATE","Gherkin; Playwright (API)",""
"SAP-QM-PH-QM-001","GMP batch release inspection lot QA11","QM","Quality","Batch Release","Pharma","P1","positive","API","S/4HANA 2026","QM functional user","Batch received; inspection lot triggered; inspection plan with pharma characteristics","1. QA11 → Usage decision on inspection lot
2. Attach CoA
3. QA decision = Accept (Code A)
4. Stock posts to unrestricted","Batch released for distribution; stock status changes; batch classification updated with UD date; audit trail per 21 CFR Part 11","High","BAPI_INSPLOT_USAGEDECISION","Gherkin; Playwright (API)",""
"SAP-PM-OG-PM-001","Preventive maintenance for SIL-rated equipment","PM","Maintenance","Safety-Critical Equipment","Oil & Gas","P1","positive","API","S/4HANA 2026","PM functional user","Equipment with SIL classification; preventive maintenance plan configured","1. IP10 → Maintenance plan for safety valve
2. IP30 → Schedule plan
3. Proof test work order created automatically
4. Complete with measurement","Proof test completed; functional test result recorded; equipment effectiveness calculated; SIL validation maintained","Medium","BAPI_ALM_ORDER_MAINTAIN","Gherkin; Playwright (API)",""
"SAP-HCM-HCM-BEN-002","Validate benefit cost posted to CO cost center","HCM","Benefits","Benefit Cost to CO","All","P1","integration","API","S/4HANA 2026","HCM functional user","Payroll with benefits; FI/CO posting active","1. Run payroll.
2. Post to FI.
3. Review CC posting for benefit cost.","Benefit cost on correct cost center; reconciles to payroll result","Medium","RPCIPE00 / CO benefit cost","Gherkin; Playwright (API)",""
"SAP-PS-PS-PRJ-004","Copy project template to new project CJ01","PS","Project System","Project Copy from Template","All","P1","positive","API","S/4HANA 2026","PS functional user","Template project exists; target project ID ready","1. CJ01 → Copy from template.
2. Adjust WBS IDs.
3. Set dates.
4. Save.","New project created with WBS, network, and structure from template","High","BAPI_PROJECT_COPY","Gherkin; Playwright (API)",""
"SAP-WM-WM-PI-001","Warehouse inventory LI01/LI20","WM","Warehouse Management","Warehouse Physical Inventory","All","P1","positive","API","S/4HANA 2026","WM functional user","Warehouse with stock; WM physical inventory active","1. LI01 → Create physical inventory doc for bin
2. LI11 → Enter count
3. LI20 → Post differences","Bin stock adjusted; differences posted; IM stock synchronized with WM","Medium","BAPI_WHSE_INVENT_CREATE","Gherkin; Playwright (API)",""
