Test Case ID,Cloud,Module Group,Module,Domain,E2E Flow,Test Type,Test Scenario,Preconditions,Steps,Expected Result,Priority,Type,Sample Data
SN-ITOM-00011,ServiceNow,ITOM,Event Management,Infrastructure,Change -> Approval -> Implementation -> Review,Regression,Update Infrastructure ServiceNow Event Management,User has ServiceNow access and Infrastructure test data exists,"1. Open Event Management.
2. Execute: Change -> Approval -> Implementation -> Review.
3. Verify downstream state and audit trail.",Change -> Approval -> Implementation -> Review completes successfully with validation and notification,Medium,Accessibility,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00012,ServiceNow,ITOM,Event Management,Infrastructure,Discovery -> CMDB Update -> Impact Analysis -> Remediation,Data Migration,Assign Infrastructure ServiceNow Event Management,User has ServiceNow access and Infrastructure test data exists,"1. Open Event Management.
2. Execute: Discovery -> CMDB Update -> Impact Analysis -> Remediation.
3. Verify downstream state and audit trail.",Discovery -> CMDB Update -> Impact Analysis -> Remediation completes successfully with validation and notification,Low,Integration,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00013,ServiceNow,ITOM,Event Management,Infrastructure,Employee Center -> HR Case -> Task -> Resolution,UI,Reopen Infrastructure ServiceNow Event Management,User has ServiceNow access and Infrastructure test data exists,"1. Open Event Management.
2. Execute: Employee Center -> HR Case -> Task -> Resolution.
3. Verify downstream state and audit trail.",Employee Center -> HR Case -> Task -> Resolution completes successfully with validation and notification,Medium,Data Migration,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00014,ServiceNow,ITOM,Event Management,Infrastructure,Portal -> Request -> Approvals -> Fulfillment,Integration,Edit Infrastructure ServiceNow Event Management,User has ServiceNow access and Infrastructure test data exists,"1. Open Event Management.
2. Execute: Portal -> Request -> Approvals -> Fulfillment.
3. Verify downstream state and audit trail.",Portal -> Request -> Approvals -> Fulfillment completes successfully with validation and notification,High,Security,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00015,ServiceNow,ITOM,Event Management,Operations,Request -> Fulfillment -> Validation -> Closure,Performance,Edit Operations ServiceNow Event Management,User has ServiceNow access and Operations test data exists,"1. Open Event Management.
2. Execute: Request -> Fulfillment -> Validation -> Closure.
3. Verify downstream state and audit trail.",Request -> Fulfillment -> Validation -> Closure completes successfully with validation and notification,High,Data Migration,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00016,ServiceNow,ITOM,Event Management,Operations,Event -> Correlation -> Incident -> Resolution,Security,Bulk Update Operations ServiceNow Event Management,User has ServiceNow access and Operations test data exists,"1. Open Event Management.
2. Execute: Event -> Correlation -> Incident -> Resolution.
3. Verify downstream state and audit trail.",Event -> Correlation -> Incident -> Resolution completes successfully with validation and notification,High,Functional,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00017,ServiceNow,ITOM,Event Management,Operations,Case -> Assignment -> Knowledge -> Closure,Data Migration,Delete Operations ServiceNow Event Management,User has ServiceNow access and Operations test data exists,"1. Open Event Management.
2. Execute: Case -> Assignment -> Knowledge -> Closure.
3. Verify downstream state and audit trail.",Case -> Assignment -> Knowledge -> Closure completes successfully with validation and notification,Medium,Accessibility,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00018,ServiceNow,ITOM,Event Management,Operations,Change -> Approval -> Implementation -> Review,Accessibility,Assign Operations ServiceNow Event Management,User has ServiceNow access and Operations test data exists,"1. Open Event Management.
2. Execute: Change -> Approval -> Implementation -> Review.
3. Verify downstream state and audit trail.",Change -> Approval -> Implementation -> Review completes successfully with validation and notification,High,Performance,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00019,ServiceNow,ITOM,Event Management,Operations,Discovery -> CMDB Update -> Impact Analysis -> Remediation,Performance,Bulk Update Operations ServiceNow Event Management,User has ServiceNow access and Operations test data exists,"1. Open Event Management.
2. Execute: Discovery -> CMDB Update -> Impact Analysis -> Remediation.
3. Verify downstream state and audit trail.",Discovery -> CMDB Update -> Impact Analysis -> Remediation completes successfully with validation and notification,Low,Security,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00020,ServiceNow,ITOM,Event Management,Operations,Employee Center -> HR Case -> Task -> Resolution,Accessibility,Create Operations ServiceNow Event Management,User has ServiceNow access and Operations test data exists,"1. Open Event Management.
2. Execute: Employee Center -> HR Case -> Task -> Resolution.
3. Verify downstream state and audit trail.",Employee Center -> HR Case -> Task -> Resolution completes successfully with validation and notification,Medium,Integration,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00021,ServiceNow,ITOM,Event Management,Operations,Portal -> Request -> Approvals -> Fulfillment,Regression,Edit Operations ServiceNow Event Management,User has ServiceNow access and Operations test data exists,"1. Open Event Management.
2. Execute: Portal -> Request -> Approvals -> Fulfillment.
3. Verify downstream state and audit trail.",Portal -> Request -> Approvals -> Fulfillment completes successfully with validation and notification,Medium,Integration,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00022,ServiceNow,ITOM,Event Management,Enterprise Service,Request -> Fulfillment -> Validation -> Closure,Integration,Clone Enterprise Service ServiceNow Event Management,User has ServiceNow access and Enterprise Service test data exists,"1. Open Event Management.
2. Execute: Request -> Fulfillment -> Validation -> Closure.
3. Verify downstream state and audit trail.",Request -> Fulfillment -> Validation -> Closure completes successfully with validation and notification,High,Functional,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00023,ServiceNow,ITOM,Event Management,Enterprise Service,Event -> Correlation -> Incident -> Resolution,Functional,Reopen Enterprise Service ServiceNow Event Management,User has ServiceNow access and Enterprise Service test data exists,"1. Open Event Management.
2. Execute: Event -> Correlation -> Incident -> Resolution.
3. Verify downstream state and audit trail.",Event -> Correlation -> Incident -> Resolution completes successfully with validation and notification,Medium,Accessibility,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00024,ServiceNow,ITOM,Event Management,Enterprise Service,Case -> Assignment -> Knowledge -> Closure,Regression,Escalate Enterprise Service ServiceNow Event Management,User has ServiceNow access and Enterprise Service test data exists,"1. Open Event Management.
2. Execute: Case -> Assignment -> Knowledge -> Closure.
3. Verify downstream state and audit trail.",Case -> Assignment -> Knowledge -> Closure completes successfully with validation and notification,Low,Data Migration,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00025,ServiceNow,ITOM,Event Management,Enterprise Service,Change -> Approval -> Implementation -> Review,UI,Escalate Enterprise Service ServiceNow Event Management,User has ServiceNow access and Enterprise Service test data exists,"1. Open Event Management.
2. Execute: Change -> Approval -> Implementation -> Review.
3. Verify downstream state and audit trail.",Change -> Approval -> Implementation -> Review completes successfully with validation and notification,Low,Workflow,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00026,ServiceNow,ITOM,Event Management,Enterprise Service,Discovery -> CMDB Update -> Impact Analysis -> Remediation,Data Migration,Escalate Enterprise Service ServiceNow Event Management,User has ServiceNow access and Enterprise Service test data exists,"1. Open Event Management.
2. Execute: Discovery -> CMDB Update -> Impact Analysis -> Remediation.
3. Verify downstream state and audit trail.",Discovery -> CMDB Update -> Impact Analysis -> Remediation completes successfully with validation and notification,High,UI,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00027,ServiceNow,ITOM,Event Management,Enterprise Service,Employee Center -> HR Case -> Task -> Resolution,Functional,Assign Enterprise Service ServiceNow Event Management,User has ServiceNow access and Enterprise Service test data exists,"1. Open Event Management.
2. Execute: Employee Center -> HR Case -> Task -> Resolution.
3. Verify downstream state and audit trail.",Employee Center -> HR Case -> Task -> Resolution completes successfully with validation and notification,Low,Accessibility,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00028,ServiceNow,ITOM,Event Management,Enterprise Service,Portal -> Request -> Approvals -> Fulfillment,Workflow,Approve Enterprise Service ServiceNow Event Management,User has ServiceNow access and Enterprise Service test data exists,"1. Open Event Management.
2. Execute: Portal -> Request -> Approvals -> Fulfillment.
3. Verify downstream state and audit trail.",Portal -> Request -> Approvals -> Fulfillment completes successfully with validation and notification,Low,Integration,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00029,ServiceNow,ITOM,Event Management,Telecom,Request -> Fulfillment -> Validation -> Closure,Mobile,Reject Telecom ServiceNow Event Management,User has ServiceNow access and Telecom test data exists,"1. Open Event Management.
2. Execute: Request -> Fulfillment -> Validation -> Closure.
3. Verify downstream state and audit trail.",Request -> Fulfillment -> Validation -> Closure completes successfully with validation and notification,Low,Regression,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00030,ServiceNow,ITOM,Event Management,Telecom,Event -> Correlation -> Incident -> Resolution,Security,Update Telecom ServiceNow Event Management,User has ServiceNow access and Telecom test data exists,"1. Open Event Management.
2. Execute: Event -> Correlation -> Incident -> Resolution.
3. Verify downstream state and audit trail.",Event -> Correlation -> Incident -> Resolution completes successfully with validation and notification,High,Performance,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00031,ServiceNow,ITOM,Event Management,Telecom,Case -> Assignment -> Knowledge -> Closure,Mobile,Search Telecom ServiceNow Event Management,User has ServiceNow access and Telecom test data exists,"1. Open Event Management.
2. Execute: Case -> Assignment -> Knowledge -> Closure.
3. Verify downstream state and audit trail.",Case -> Assignment -> Knowledge -> Closure completes successfully with validation and notification,Medium,Functional,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00032,ServiceNow,ITOM,Event Management,Telecom,Change -> Approval -> Implementation -> Review,Performance,Search Telecom ServiceNow Event Management,User has ServiceNow access and Telecom test data exists,"1. Open Event Management.
2. Execute: Change -> Approval -> Implementation -> Review.
3. Verify downstream state and audit trail.",Change -> Approval -> Implementation -> Review completes successfully with validation and notification,Low,Data Migration,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00033,ServiceNow,ITOM,Event Management,Telecom,Discovery -> CMDB Update -> Impact Analysis -> Remediation,Security,Bulk Update Telecom ServiceNow Event Management,User has ServiceNow access and Telecom test data exists,"1. Open Event Management.
2. Execute: Discovery -> CMDB Update -> Impact Analysis -> Remediation.
3. Verify downstream state and audit trail.",Discovery -> CMDB Update -> Impact Analysis -> Remediation completes successfully with validation and notification,Low,Data Migration,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00034,ServiceNow,ITOM,Event Management,Telecom,Employee Center -> HR Case -> Task -> Resolution,Workflow,Close Telecom ServiceNow Event Management,User has ServiceNow access and Telecom test data exists,"1. Open Event Management.
2. Execute: Employee Center -> HR Case -> Task -> Resolution.
3. Verify downstream state and audit trail.",Employee Center -> HR Case -> Task -> Resolution completes successfully with validation and notification,High,Performance,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00035,ServiceNow,ITOM,Event Management,Telecom,Portal -> Request -> Approvals -> Fulfillment,Mobile,Delete Telecom ServiceNow Event Management,User has ServiceNow access and Telecom test data exists,"1. Open Event Management.
2. Execute: Portal -> Request -> Approvals -> Fulfillment.
3. Verify downstream state and audit trail.",Portal -> Request -> Approvals -> Fulfillment completes successfully with validation and notification,High,Security,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00036,ServiceNow,ITOM,Event Management,Retail,Request -> Fulfillment -> Validation -> Closure,Mobile,Clone Retail ServiceNow Event Management,User has ServiceNow access and Retail test data exists,"1. Open Event Management.
2. Execute: Request -> Fulfillment -> Validation -> Closure.
3. Verify downstream state and audit trail.",Request -> Fulfillment -> Validation -> Closure completes successfully with validation and notification,High,Integration,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00037,ServiceNow,ITOM,Event Management,Retail,Event -> Correlation -> Incident -> Resolution,Mobile,Approve Retail ServiceNow Event Management,User has ServiceNow access and Retail test data exists,"1. Open Event Management.
2. Execute: Event -> Correlation -> Incident -> Resolution.
3. Verify downstream state and audit trail.",Event -> Correlation -> Incident -> Resolution completes successfully with validation and notification,Medium,Security,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00038,ServiceNow,ITOM,Event Management,Retail,Case -> Assignment -> Knowledge -> Closure,Workflow,Approve Retail ServiceNow Event Management,User has ServiceNow access and Retail test data exists,"1. Open Event Management.
2. Execute: Case -> Assignment -> Knowledge -> Closure.
3. Verify downstream state and audit trail.",Case -> Assignment -> Knowledge -> Closure completes successfully with validation and notification,Low,Workflow,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00039,ServiceNow,ITOM,Event Management,Retail,Change -> Approval -> Implementation -> Review,UI,Search Retail ServiceNow Event Management,User has ServiceNow access and Retail test data exists,"1. Open Event Management.
2. Execute: Change -> Approval -> Implementation -> Review.
3. Verify downstream state and audit trail.",Change -> Approval -> Implementation -> Review completes successfully with validation and notification,Low,Workflow,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00040,ServiceNow,ITOM,Event Management,Retail,Discovery -> CMDB Update -> Impact Analysis -> Remediation,Workflow,Search Retail ServiceNow Event Management,User has ServiceNow access and Retail test data exists,"1. Open Event Management.
2. Execute: Discovery -> CMDB Update -> Impact Analysis -> Remediation.
3. Verify downstream state and audit trail.",Discovery -> CMDB Update -> Impact Analysis -> Remediation completes successfully with validation and notification,High,Regression,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00041,ServiceNow,ITOM,Event Management,Retail,Employee Center -> HR Case -> Task -> Resolution,Functional,Escalate Retail ServiceNow Event Management,User has ServiceNow access and Retail test data exists,"1. Open Event Management.
2. Execute: Employee Center -> HR Case -> Task -> Resolution.
3. Verify downstream state and audit trail.",Employee Center -> HR Case -> Task -> Resolution completes successfully with validation and notification,Medium,Mobile,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00042,ServiceNow,ITOM,Event Management,Retail,Portal -> Request -> Approvals -> Fulfillment,Data Migration,Edit Retail ServiceNow Event Management,User has ServiceNow access and Retail test data exists,"1. Open Event Management.
2. Execute: Portal -> Request -> Approvals -> Fulfillment.
3. Verify downstream state and audit trail.",Portal -> Request -> Approvals -> Fulfillment completes successfully with validation and notification,Low,Accessibility,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00043,ServiceNow,ITOM,Event Management,Healthcare,Request -> Fulfillment -> Validation -> Closure,Integration,Resolve Healthcare ServiceNow Event Management,User has ServiceNow access and Healthcare test data exists,"1. Open Event Management.
2. Execute: Request -> Fulfillment -> Validation -> Closure.
3. Verify downstream state and audit trail.",Request -> Fulfillment -> Validation -> Closure completes successfully with validation and notification,Low,Performance,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00044,ServiceNow,ITOM,Event Management,Healthcare,Event -> Correlation -> Incident -> Resolution,Workflow,Update Healthcare ServiceNow Event Management,User has ServiceNow access and Healthcare test data exists,"1. Open Event Management.
2. Execute: Event -> Correlation -> Incident -> Resolution.
3. Verify downstream state and audit trail.",Event -> Correlation -> Incident -> Resolution completes successfully with validation and notification,Low,Regression,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00045,ServiceNow,ITOM,Event Management,Healthcare,Case -> Assignment -> Knowledge -> Closure,Regression,Delete Healthcare ServiceNow Event Management,User has ServiceNow access and Healthcare test data exists,"1. Open Event Management.
2. Execute: Case -> Assignment -> Knowledge -> Closure.
3. Verify downstream state and audit trail.",Case -> Assignment -> Knowledge -> Closure completes successfully with validation and notification,High,Workflow,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00046,ServiceNow,ITOM,Event Management,Healthcare,Change -> Approval -> Implementation -> Review,Data Migration,Bulk Update Healthcare ServiceNow Event Management,User has ServiceNow access and Healthcare test data exists,"1. Open Event Management.
2. Execute: Change -> Approval -> Implementation -> Review.
3. Verify downstream state and audit trail.",Change -> Approval -> Implementation -> Review completes successfully with validation and notification,High,Mobile,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00047,ServiceNow,ITOM,Event Management,Healthcare,Discovery -> CMDB Update -> Impact Analysis -> Remediation,Performance,Delete Healthcare ServiceNow Event Management,User has ServiceNow access and Healthcare test data exists,"1. Open Event Management.
2. Execute: Discovery -> CMDB Update -> Impact Analysis -> Remediation.
3. Verify downstream state and audit trail.",Discovery -> CMDB Update -> Impact Analysis -> Remediation completes successfully with validation and notification,High,Performance,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00048,ServiceNow,ITOM,Event Management,Healthcare,Employee Center -> HR Case -> Task -> Resolution,Security,Clone Healthcare ServiceNow Event Management,User has ServiceNow access and Healthcare test data exists,"1. Open Event Management.
2. Execute: Employee Center -> HR Case -> Task -> Resolution.
3. Verify downstream state and audit trail.",Employee Center -> HR Case -> Task -> Resolution completes successfully with validation and notification,Medium,Data Migration,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00049,ServiceNow,ITOM,Event Management,Healthcare,Portal -> Request -> Approvals -> Fulfillment,Workflow,Route Healthcare ServiceNow Event Management,User has ServiceNow access and Healthcare test data exists,"1. Open Event Management.
2. Execute: Portal -> Request -> Approvals -> Fulfillment.
3. Verify downstream state and audit trail.",Portal -> Request -> Approvals -> Fulfillment completes successfully with validation and notification,Low,Functional,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00050,ServiceNow,ITOM,Event Management,Banking,Request -> Fulfillment -> Validation -> Closure,Regression,Delete Banking ServiceNow Event Management,User has ServiceNow access and Banking test data exists,"1. Open Event Management.
2. Execute: Request -> Fulfillment -> Validation -> Closure.
3. Verify downstream state and audit trail.",Request -> Fulfillment -> Validation -> Closure completes successfully with validation and notification,High,Data Migration,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00051,ServiceNow,ITOM,Event Management,Banking,Event -> Correlation -> Incident -> Resolution,UI,Approve Banking ServiceNow Event Management,User has ServiceNow access and Banking test data exists,"1. Open Event Management.
2. Execute: Event -> Correlation -> Incident -> Resolution.
3. Verify downstream state and audit trail.",Event -> Correlation -> Incident -> Resolution completes successfully with validation and notification,Medium,Mobile,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00052,ServiceNow,ITOM,Event Management,Banking,Case -> Assignment -> Knowledge -> Closure,Security,Submit Banking ServiceNow Event Management,User has ServiceNow access and Banking test data exists,"1. Open Event Management.
2. Execute: Case -> Assignment -> Knowledge -> Closure.
3. Verify downstream state and audit trail.",Case -> Assignment -> Knowledge -> Closure completes successfully with validation and notification,Medium,Accessibility,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00053,ServiceNow,ITOM,Event Management,Banking,Change -> Approval -> Implementation -> Review,Regression,Approve Banking ServiceNow Event Management,User has ServiceNow access and Banking test data exists,"1. Open Event Management.
2. Execute: Change -> Approval -> Implementation -> Review.
3. Verify downstream state and audit trail.",Change -> Approval -> Implementation -> Review completes successfully with validation and notification,Low,Integration,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00054,ServiceNow,ITOM,Event Management,Banking,Discovery -> CMDB Update -> Impact Analysis -> Remediation,UI,Edit Banking ServiceNow Event Management,User has ServiceNow access and Banking test data exists,"1. Open Event Management.
2. Execute: Discovery -> CMDB Update -> Impact Analysis -> Remediation.
3. Verify downstream state and audit trail.",Discovery -> CMDB Update -> Impact Analysis -> Remediation completes successfully with validation and notification,Medium,Integration,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00055,ServiceNow,ITOM,Event Management,Banking,Employee Center -> HR Case -> Task -> Resolution,UI,Create Banking ServiceNow Event Management,User has ServiceNow access and Banking test data exists,"1. Open Event Management.
2. Execute: Employee Center -> HR Case -> Task -> Resolution.
3. Verify downstream state and audit trail.",Employee Center -> HR Case -> Task -> Resolution completes successfully with validation and notification,Low,Workflow,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
